active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.8731501057082452,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,94be5b80,,,,,,,d4_bgpad_sparse,,
80,0.8731501057082452,0.0,none,,,,cuda,17.14463284390513,480,0.8148148148148148,0.7758985200845666,0.0,0.0,1.0,05795280f2e1eff99c43e543fedf05e5d9ec78b8dc1071e2fae6a19b893b8431,4472,260,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,0,1.0,1,same,0.8148148148148148,0.0,0.0,0.0,12,1,trained,94be5b80,270,,70200,1,[null],3240,dlr,15,18
75,0.8731501057082452,0.0,none,,,,cuda,16.17176167399157,480,0.762962962962963,0.7209302325581395,0.0,0.0,1.0,5bbdb12bd5b5337978e657a83babd610e736ffac50100e6da0958a25eb916bb2,4472,260,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,1,0.0,1,same,0.762962962962963,0.0,0.0,0.0,12,1,trained,94be5b80,270,,70200,1,[null],3240,dlr,15,18
74,0.8731501057082452,0.0,none,,,,cuda,16.36202407698147,480,0.8037037037037037,0.7463002114164905,0.0,0.0,1.0,62814a2f5f4cede88d4bd049e5e3ca2fa8918093f3d78dc43090ef6b61031a93,4472,260,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,2,0.0,1,same,0.8037037037037037,0.0,0.0,0.0,12,1,trained,94be5b80,270,,70200,1,[null],3240,dlr,15,18
92,0.8731501057082452,0.0,none,,,,cuda,16.425630399025977,480,0.8148148148148148,0.7758985200845666,0.0,0.0,1.0,96057e6c992cd0d97d8c594a4432018c1a2ca11f33887177705d8f0186c3ab40,6536,340,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,0,0.0,1,same,0.8148148148148148,0.0,0.0,0.0,12,90,trained,94be5b80,270,,91800,1,[null],3240,dlo,15,18
92,0.8731501057082452,0.0,none,,,,cuda,16.838314877008088,480,0.7851851851851852,0.7991543340380549,0.0,0.0,1.0,a57433aca7b226f60f88a94631d81f20849b8437f27b5842f9800184f71f2648,6536,340,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,1,1.0,1,same,0.8148148148148148,0.0,0.0,0.0,12,90,trained,94be5b80,270,,91800,1,[null],3240,dlo,15,18
100,0.8731501057082452,0.0,none,,,,cuda,16.500320225022733,480,0.037037037037037035,0.07610993657505286,0.0,0.0,1.0,b025e26df55b384b2479df8c2664c9abc09e6045d412b965b8d699c89c68ca9b,6536,340,0,270,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,2,0.0,1,same,0.8148148148148148,0.0,0.0,0.0,12,90,trained,94be5b80,270,,91800,1,[null],3240,dlo,15,18
0,0.8731501057082452,0.0,none,57600,,,cuda,6.024554055999033,480,0.7888888888888889,0.985200845665962,0.0,0.0,,,,,0,270,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,8,same,0.6481481481481481,0.0,0.0,0.0,12,90,trained,94be5b80,270,124416000,,8,[null],25920,mlp,15,18
0,0.8731501057082452,0.0,none,57600,,,cuda,6.1503356009488925,480,0.774074074074074,0.959830866807611,0.0,0.0,,,,,0,270,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,1,0.0,8,same,0.6481481481481481,0.0,0.0,0.0,12,90,trained,94be5b80,270,124416000,,8,[null],25920,mlp,15,18
0,0.8731501057082452,0.0,none,57600,,,cuda,6.312132637016475,480,0.7481481481481481,0.9365750528541226,0.0,0.0,,,,,0,270,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,0.0,4,same,0.5037037037037037,0.0,0.0,0.0,12,90,trained,94be5b80,270,62208000,,4,[null],12960,mlp,15,18
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,a3f84088,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.6192214111922141,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,a3f84088,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.6192214111922141,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,a3f84088,,,,,,,d4_bgpad_sparse,,
60,0.6192214111922141,0.0,none,,,,cuda,18.684547886950895,480,0.4388888888888889,0.4245742092457421,0.0,0.0,1.0,552b99932d3e047f2ede072b4ed9d89d957b0f494bb7044ba0b1aefea5bccea3,4472,260,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,0,1.0,1,same,0.3844444444444444,0.0,0.0,0.0,12,1,trained,a3f84088,900,,234000,1,[null],10800,dlr,30,30
50,0.6192214111922141,0.0,none,,,,cuda,18.638850469957106,480,0.32666666666666666,0.30170316301703165,0.0,0.0,1.0,ceef276e64db7f0a23e40c87c3c53042cea53ab16dad6d06c927d9e68294011c,4472,260,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,1,0.0,2,same,0.37444444444444447,0.0,0.0,0.0,12,1,trained,a3f84088,900,,468000,2,[null],21600,dlr,30,30
49,0.6192214111922141,0.0,none,,,,cuda,18.784440899034962,480,0.10444444444444445,0.1678832116788321,0.0,0.0,1.0,9793eeecfac5f55b5d7862ea3d03f75e0160def30d66bfc9a6af3ee99d65dfe5,4472,260,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,2,0.0,4,same,0.37444444444444447,0.0,0.0,0.0,12,1,trained,a3f84088,900,,936000,4,[null],43200,dlr,30,30
87,0.6192214111922141,0.0,none,,,,cuda,19.202535778982565,480,0.05,0.07420924574209246,0.0,0.0,1.0,e485c2b82298df8f5e2ebd0fc2ace229db7b32c23656842f07a952d7982f4f24,6536,340,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,0,0.0,2,same,0.4388888888888889,0.0,0.0,0.0,12,90,trained,a3f84088,900,,612000,2,[null],21600,dlo,30,30
75,0.6192214111922141,0.0,none,,,,cuda,17.424962677061558,480,0.4388888888888889,0.4245742092457421,0.0,0.0,1.0,097909a45f7aa19e7da0a70297b3d7442ff85c348df31ee15360e89888e54510,6536,340,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,1,1.0,1,same,0.0,0.0,0.0,0.0,12,90,trained,a3f84088,900,,306000,1,[null],10800,dlo,30,30
81,0.6192214111922141,0.0,none,,,,cuda,18.036009622039273,480,0.0,0.0036496350364963502,0.0,0.0,1.0,74155c6298c8b9363399e13c18d92177a0c1ca8501a5f3aed3900d4207f06d8a,6536,340,0,900,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,2,0.0,4,same,0.4222222222222222,0.0,0.0,0.0,12,90,trained,a3f84088,900,,1224000,4,[null],43200,dlo,30,30
0,0.6192214111922141,0.0,none,57600,,,cuda,7.85281913599465,480,0.6033333333333334,0.8771289537712895,0.25,0.0,,,,,0,900,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,8,same,0.5922222222222222,0.0,0.0,0.0,12,90,trained,a3f84088,900,414720000,,8,[null],86400,mlp,30,30
0,0.6192214111922141,0.0,none,57600,,,cuda,8.107359766028821,480,0.6166666666666667,0.767639902676399,0.25,0.0,,,,,0,900,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,1,0.0,8,same,0.3188888888888889,0.0,0.0,0.0,12,90,trained,a3f84088,900,414720000,,8,[null],86400,mlp,30,30
0,0.6192214111922141,0.0,none,57600,,,cuda,7.663209691992961,480,0.5833333333333334,0.7895377128953771,0.25,0.0,,,,,0,900,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,0.0,4,same,0.4477777777777778,0.0,0.0,0.0,12,90,trained,a3f84088,900,207360000,,4,[null],43200,mlp,30,30
