function_id,task,family,positive_fraction,relevant_inputs,total_influence,max_influence,fourier_degree,fourier_mass_degree_le_1,fourier_mass_degree_le_2,anf_degree,anf_terms,monotonicity_violation_rate,symmetry_error_rate,certificate_c0,certificate_c1,certificate_mean,noise_sensitivity,noise_rate
67,truth_table_067,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.4166666666666667,0.25,2,3,2.125,0.15775,0.1
68,truth_table_068,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
69,truth_table_069,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
70,truth_table_070,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
71,truth_table_071,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
72,truth_table_072,general,0.25,3,1.5,0.5,3,0.5,0.75,2,2,0.16666666666666666,0.125,2,3,1.75,0.131,0.1
73,truth_table_073,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
74,truth_table_074,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
75,truth_table_075,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
76,truth_table_076,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,2,0.16666666666666666,0.25,2,2,1.5,0.11774999999999997,0.1
77,truth_table_077,general,0.5,3,1.5,0.5,3,0.75,0.75,2,6,0.3333333333333333,0.25,2,2,2.0,0.13599999999999995,0.1
78,truth_table_078,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
79,truth_table_079,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
80,truth_table_080,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
81,truth_table_081,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
82,truth_table_082,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
83,truth_table_083,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
84,truth_table_084,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.25,0.25,2,2,1.5,0.11775000000000002,0.1
85,truth_table_085,literal,0.5,1,1.0,1.0,1,1.0,1.0,1,2,0.3333333333333333,0.25,1,1,1.0,0.09999999999999998,0.1
86,truth_table_086,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
87,truth_table_087,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11775000000000002,0.1
88,truth_table_088,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
89,truth_table_089,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
90,truth_table_090,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,2,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
91,truth_table_091,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.4166666666666667,0.25,3,2,2.125,0.15775,0.1
92,truth_table_092,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
93,truth_table_093,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
94,truth_table_094,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.3333333333333333,0.125,3,2,2.125,0.15775,0.1
95,truth_table_095,general,0.75,2,1.0,0.5,2,0.75,1.0,2,2,0.3333333333333333,0.125,2,1,1.25,0.09499999999999997,0.1
96,truth_table_096,general,0.25,3,1.5,0.5,3,0.5,0.75,2,2,0.16666666666666666,0.125,2,3,1.75,0.13099999999999995,0.1
97,truth_table_097,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
98,truth_table_098,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
99,truth_table_099,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
100,truth_table_100,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
101,truth_table_101,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
102,truth_table_102,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,2,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
103,truth_table_103,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.4166666666666667,0.25,3,2,2.125,0.15775,0.1
104,truth_table_104,symmetric,0.375,3,2.25,0.75,3,0.25,0.4375,3,4,0.25,0.0,3,3,2.5,0.18974999999999997,0.1
105,truth_table_105,affine,0.5,3,3.0,1.0,3,0.0,0.0,1,4,0.5,0.0,3,3,3.0,0.24399999999999994,0.1
106,truth_table_106,general,0.5,3,2.0,1.0,3,0.25,0.75,2,2,0.25,0.125,3,3,2.25,0.176,0.1
107,truth_table_107,general,0.625,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
108,truth_table_108,general,0.5,3,2.0,1.0,3,0.25,0.75,2,2,0.25,0.125,3,3,2.25,0.176,0.1
109,truth_table_109,general,0.625,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
110,truth_table_110,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.125,3,2,2.125,0.15775,0.1
111,truth_table_111,general,0.75,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,3,2,1.75,0.13099999999999995,0.1
112,truth_table_112,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,2,0.16666666666666666,0.25,2,2,1.5,0.11774999999999997,0.1
113,truth_table_113,general,0.5,3,1.5,0.5,3,0.75,0.75,2,6,0.3333333333333333,0.25,2,2,2.0,0.13599999999999995,0.1
114,truth_table_114,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
115,truth_table_115,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
116,truth_table_116,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
117,truth_table_117,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
118,truth_table_118,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.3333333333333333,0.125,3,2,2.125,0.15775,0.1
119,truth_table_119,general,0.75,2,1.0,0.5,2,0.75,1.0,2,2,0.3333333333333333,0.125,2,1,1.25,0.09499999999999997,0.1
120,truth_table_120,general,0.5,3,2.0,1.0,3,0.25,0.75,2,2,0.25,0.125,3,3,2.25,0.176,0.1
121,truth_table_121,general,0.625,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
122,truth_table_122,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.125,3,2,2.125,0.15775,0.1
123,truth_table_123,general,0.75,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,3,2,1.75,0.131,0.1
124,truth_table_124,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.125,3,2,2.125,0.15775,0.1
125,truth_table_125,general,0.75,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,3,2,1.75,0.131,0.1
126,truth_table_126,symmetric,0.75,3,1.5,0.5,2,0.25,1.0,2,6,0.25,0.0,3,2,2.25,0.135,0.1
127,truth_table_127,symmetric,0.875,3,0.75,0.25,3,0.75,0.9375,3,2,0.25,0.0,3,1,1.25,0.06774999999999998,0.1
128,and3,monotone_symmetric,0.125,3,0.75,0.25,3,0.75,0.9375,3,1,0.0,0.0,1,3,1.25,0.06774999999999998,0.1
129,truth_table_129,symmetric,0.25,3,1.5,0.5,2,0.25,1.0,2,7,0.25,0.0,2,3,2.25,0.135,0.1
130,truth_table_130,general,0.25,3,1.5,0.5,3,0.5,0.75,2,3,0.16666666666666666,0.125,2,3,1.75,0.131,0.1
131,truth_table_131,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.125,2,3,2.125,0.15775,0.1
132,truth_table_132,general,0.25,3,1.5,0.5,3,0.5,0.75,2,3,0.16666666666666666,0.125,2,3,1.75,0.131,0.1
133,truth_table_133,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.125,2,3,2.125,0.15775,0.1
134,truth_table_134,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,5,0.3333333333333333,0.125,3,3,2.5,0.18974999999999997,0.1
135,truth_table_135,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
136,truth_table_136,monotone,0.25,2,1.0,0.5,2,0.75,1.0,2,1,0.0,0.125,1,2,1.25,0.09499999999999997,0.1
137,truth_table_137,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,7,0.25,0.125,2,3,2.125,0.15775,0.1
138,truth_table_138,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,3,0.08333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
139,truth_table_139,general,0.5,3,1.5,0.5,2,0.5,1.0,2,5,0.25,0.25,2,2,2.0,0.14,0.1
140,truth_table_140,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,3,0.08333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
141,truth_table_141,general,0.5,3,1.5,0.5,2,0.5,1.0,2,5,0.25,0.25,2,2,2.0,0.14,0.1
142,truth_table_142,general,0.5,3,1.5,0.5,3,0.75,0.75,2,5,0.16666666666666666,0.25,2,2,2.0,0.13599999999999995,0.1
143,truth_table_143,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,3,0.25,0.25,2,2,1.5,0.11774999999999997,0.1
144,truth_table_144,general,0.25,3,1.5,0.5,3,0.5,0.75,2,3,0.16666666666666666,0.125,2,3,1.75,0.13099999999999995,0.1
145,truth_table_145,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.125,2,3,2.125,0.15775,0.1
146,truth_table_146,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,5,0.3333333333333333,0.125,3,3,2.5,0.18974999999999997,0.1
147,truth_table_147,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
148,truth_table_148,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,5,0.3333333333333333,0.125,3,3,2.5,0.18974999999999997,0.1
149,truth_table_149,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
150,parity3,affine,0.5,3,3.0,1.0,3,0.0,0.0,1,3,0.5,0.0,3,3,3.0,0.24399999999999994,0.1
151,truth_table_151,symmetric,0.625,3,2.25,0.75,3,0.25,0.4375,3,5,0.5,0.0,3,3,2.5,0.18974999999999997,0.1
152,truth_table_152,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.16666666666666666,0.25,2,3,2.125,0.15775,0.1
153,truth_table_153,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,3,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
154,truth_table_154,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.25,0.25,3,3,2.25,0.176,0.1
155,truth_table_155,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.25,3,2,2.125,0.15775,0.1
156,truth_table_156,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.25,0.25,3,3,2.25,0.176,0.1
157,truth_table_157,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.25,3,2,2.125,0.15775,0.1
158,truth_table_158,general,0.625,3,2.25,0.75,3,0.25,0.4375,3,5,0.3333333333333333,0.125,3,3,2.5,0.18974999999999997,0.1
159,truth_table_159,general,0.75,3,1.5,0.5,3,0.5,0.75,2,3,0.3333333333333333,0.125,3,2,1.75,0.13099999999999995,0.1
160,truth_table_160,monotone,0.25,2,1.0,0.5,2,0.75,1.0,2,1,0.0,0.125,1,2,1.25,0.09499999999999997,0.1
161,truth_table_161,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,7,0.25,0.125,2,3,2.125,0.15775,0.1
162,truth_table_162,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,3,0.08333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
163,truth_table_163,general,0.5,3,1.5,0.5,2,0.5,1.0,2,5,0.25,0.25,2,2,2.0,0.14,0.1
164,truth_table_164,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.16666666666666666,0.25,2,3,2.125,0.15775,0.1
165,truth_table_165,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,3,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
166,truth_table_166,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.25,0.25,3,3,2.25,0.176,0.1
167,truth_table_167,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.25,3,2,2.125,0.15775,0.1
168,truth_table_168,monotone,0.375,3,1.25,0.75,3,0.75,0.9375,3,3,0.0,0.125,2,2,1.5,0.11775000000000002,0.1
169,truth_table_169,general,0.5,3,2.0,1.0,3,0.25,0.75,2,5,0.25,0.125,3,3,2.25,0.176,0.1
170,literal_x0,literal,0.5,1,1.0,1.0,1,1.0,1.0,1,1,0.0,0.25,1,1,1.0,0.09999999999999998,0.1
171,truth_table_171,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,7,0.16666666666666666,0.25,2,2,1.5,0.11775000000000002,0.1
172,truth_table_172,general,0.5,3,1.5,0.5,2,0.5,1.0,2,3,0.08333333333333333,0.25,2,2,2.0,0.14,0.1
173,truth_table_173,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.25,0.25,3,2,2.125,0.15775,0.1
174,truth_table_174,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,5,0.08333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
175,truth_table_175,general,0.75,2,1.0,0.5,2,0.75,1.0,2,3,0.16666666666666666,0.25,2,1,1.25,0.09499999999999997,0.1
176,truth_table_176,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,3,0.08333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
177,truth_table_177,general,0.5,3,1.5,0.5,2,0.5,1.0,2,5,0.25,0.25,2,2,2.0,0.14,0.1
178,truth_table_178,general,0.5,3,1.5,0.5,3,0.75,0.75,2,5,0.16666666666666666,0.25,2,2,2.0,0.13599999999999995,0.1
179,truth_table_179,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,3,0.25,0.25,2,2,1.5,0.11774999999999997,0.1
180,truth_table_180,general,0.5,3,2.0,1.0,3,0.25,0.75,2,3,0.25,0.25,3,3,2.25,0.176,0.1
181,truth_table_181,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.3333333333333333,0.25,3,2,2.125,0.15775,0.1
182,truth_table_182,general,0.625,3,2.25,0.75,3,0.25,0.4375,3,5,0.3333333333333333,0.125,3,3,2.5,0.18974999999999997,0.1
183,truth_table_183,general,0.75,3,1.5,0.5,3,0.5,0.75,2,3,0.3333333333333333,0.125,3,2,1.75,0.131,0.1
184,truth_table_184,general,0.5,3,1.5,0.5,2,0.5,1.0,2,3,0.08333333333333333,0.25,2,2,2.0,0.14,0.1
185,truth_table_185,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,5,0.25,0.25,3,2,2.125,0.15775,0.1
186,truth_table_186,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,5,0.08333333333333333,0.25,2,2,1.5,0.11775000000000002,0.1
187,truth_table_187,general,0.75,2,1.0,0.5,2,0.75,1.0,2,3,0.16666666666666666,0.25,2,1,1.25,0.09499999999999997,0.1
188,truth_table_188,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,3,0.16666666666666666,0.25,3,2,2.125,0.15775,0.1
189,truth_table_189,general,0.75,3,1.5,0.5,2,0.25,1.0,2,5,0.25,0.25,3,2,2.25,0.135,0.1
190,truth_table_190,general,0.75,3,1.5,0.5,3,0.5,0.75,2,5,0.16666666666666666,0.125,3,2,1.75,0.131,0.1
191,truth_table_191,general,0.875,3,0.75,0.25,3,0.75,0.9375,3,3,0.16666666666666666,0.125,3,1,1.25,0.06774999999999998,0.1
192,truth_table_192,monotone,0.25,2,1.0,0.5,2,0.75,1.0,2,1,0.0,0.125,1,2,1.25,0.09499999999999997,0.1
193,truth_table_193,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,7,0.25,0.125,2,3,2.125,0.15775,0.1
194,truth_table_194,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,5,0.16666666666666666,0.25,2,3,2.125,0.15775,0.1
195,truth_table_195,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,3,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
