task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
ca8f78db,von_neumann_r2,13,183,10353,8,10361,20047,7869,4,10,11,900,18042300,7082100,1.0,1.0,0.0,0.0,0.001986294984817505,0.002004120033234358,0.011247109971009195,0.011399673065170646,0.01041957305278629,0.010538091999478638,,ARC-AGI-1,evaluation
ce039d91,moore_r2,25,58,6206,8,6214,11164,3190,4,10,11,100,1116400,319000,1.0,1.0,0.0,0.0,0.00032919005025178194,0.0003394319210201502,0.002129330998286605,0.002144759986549616,0.0028585430700331926,0.0028781360015273094,,ARC-AGI-1,evaluation
d2acf2cb,von_neumann_r2,13,36,2117,8,2125,3577,1548,4,10,11,90,321930,139320,1.0,1.0,0.0,0.0,0.00022639508824795485,0.00024041603319346905,0.0013257369864732027,0.0013524260139092803,0.0012540039606392384,0.0012678259517997503,,ARC-AGI-1,evaluation
d492a647,moore_r2,25,48,5166,8,5174,9180,2640,4,10,11,255,2340900,673200,1.0,1.0,0.0,0.0,0.0007635270012542605,0.0007763470057398081,0.002130205975845456,0.002141662989743054,0.002734581008553505,0.002759802038781345,,ARC-AGI-1,evaluation
dc2aa30b,moore_r2,25,122,12863,8,12871,22841,6710,4,10,11,121,2763761,811910,1.0,1.0,0.0,0.0,0.0007670640479773283,0.0008054079953581095,0.004473838023841381,0.004918123013339937,0.005983282928355038,0.007957358960993588,,ARC-AGI-1,evaluation
e0fb7511,von_neumann_r1,5,24,625,8,633,1180,840,4,10,11,169,199420,141960,1.0,1.0,0.0,0.0,0.0003006600309163332,0.0003100070171058178,0.0009721359238028526,0.0009826690657064319,0.0006713710026815534,0.0007044810336083174,,ARC-AGI-1,evaluation
e2092e0c,von_neumann_r2,13,48,2789,8,2797,5228,2064,4,10,11,225,1176300,464400,1.0,1.0,0.0,0.0,0.0005222490290179849,0.000532645033672452,0.002047284971922636,0.0021000460255891085,0.001832289039157331,0.0018528769724071026,,ARC-AGI-1,evaluation
e21a174a,moore_r2,25,145,15258,8,15266,28238,7975,4,10,11,179,5054602,1427525,1.0,1.0,0.0,0.0,0.0006169769912958145,0.0006370670162141323,0.010070285992696881,0.010086690075695515,0.013527625938877463,0.013718390022404492,,ARC-AGI-1,evaluation
e69241bd,von_neumann_r2,13,57,3293,8,3301,5839,2451,4,10,11,81,472959,198531,1.0,1.0,0.0,0.0,0.00020951603073626757,0.0002262319903820753,0.0020205159671604633,0.0020432890160009265,0.0018913010135293007,0.0019013079581782222,,ARC-AGI-1,evaluation
e74e1818,von_neumann_r2,13,62,3573,8,3581,6635,2666,4,10,11,225,1492875,599850,1.0,1.0,0.0,0.0,0.0005145330214872956,0.0005321219796314836,0.0025270750047639012,0.0025441659381613135,0.002352733979932964,0.0023590519558638334,,ARC-AGI-1,evaluation
e7dd8335,moore_r2,25,29,3189,8,3197,5640,1595,4,10,11,99,558360,157905,1.0,1.0,0.0,0.0,0.0003261190140619874,0.0003382100258022547,0.0011144650634378195,0.0011389870196580887,0.0014815200120210648,0.0015003239968791604,,ARC-AGI-1,evaluation
e88171ec,moore_r1,9,1,111,8,119,84,39,4,10,11,441,37044,17199,1.0,1.0,0.0,0.0,0.0008399160578846931,0.0008649659575894475,0.00018571107648313046,0.00019848300144076347,0.0001789160305634141,0.0001963380491361022,,ARC-AGI-1,evaluation
e95e3d8e,moore_r2,25,177,18586,8,18594,33442,9735,4,10,11,484,16185928,4711740,1.0,1.0,0.0,0.0,0.0014557740651071072,0.001478062942624092,0.009176032966934144,0.009241563966497779,0.011016997043043375,0.01105139299761504,,ARC-AGI-1,evaluation
ea959feb,moore_r2,25,152,15986,8,15994,27149,8360,4,10,11,550,14931950,4598000,1.0,1.0,0.0,0.0,0.0016315400134772062,0.0016413650009781122,0.008358028950169683,0.00836180301848799,0.010315070976503193,0.010345872957259417,,ARC-AGI-1,evaluation
ecaa0ec1,moore_r1,9,22,956,8,964,1753,858,4,10,11,121,212113,103818,1.0,1.0,0.0,0.0,0.00024808302987366915,0.0002600520383566618,0.0008689629612490535,0.0009064609184861183,0.0007119540823623538,0.0007258700206875801,,ARC-AGI-1,evaluation
ef26cbf6,von_neumann_r2,13,32,1893,8,1901,3312,1376,4,10,11,77,255024,105952,1.0,1.0,0.0,0.0,0.00019752397201955318,0.00021187099628150463,0.0011890470050275326,0.0012117800069972873,0.0011106620077043772,0.0011220370652154088,,ARC-AGI-1,evaluation
f0df5ff0,moore_r1,9,90,3678,8,3686,7045,3510,4,10,11,225,1585125,789750,1.0,1.0,0.0,0.0,0.0004375020507723093,0.00045675900764763355,0.0035757930018007755,0.003649905091151595,0.002835426013916731,0.0028495769947767258,,ARC-AGI-1,evaluation
f3cdc58f,moore_r2,25,97,10263,8,10271,18935,5335,4,10,11,100,1893500,533500,1.0,1.0,0.0,0.0,0.00032974197529256344,0.0003450550138950348,0.003463299013674259,0.0034821958979591727,0.004693697905167937,0.004705250961706042,,ARC-AGI-1,evaluation
f823c43c,moore_r1,9,66,2718,8,2726,4501,2574,4,10,11,256,1152256,658944,1.0,1.0,0.0,0.0,0.0005022699479013681,0.0005108569748699665,0.0026961819967254996,0.0027569360099732876,0.002172777079977095,0.002178358961828053,,ARC-AGI-1,evaluation
fc754716,moore_r2,25,60,6414,8,6422,11084,3300,4,10,11,63,698292,207900,1.0,1.0,0.0,0.0,0.00023340201005339622,0.00026077404618263245,0.0021058720303699374,0.0021474399836733937,0.0029262739699333906,0.0029676189878955483,,ARC-AGI-1,evaluation
