task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
b1948b0a,center,1,1,24,8,32,18,31,4,10,11,16,288,496,1.0,1.0,0.0,0.0,4.17809933423996e-05,4.964298568665981e-05,9.477802086621523e-05,0.0001060019712895155,7.997301872819662e-05,9.069498628377914e-05,,ARC-AGI-1,training
b230c067,von_neumann_r2,13,62,3573,8,3581,6706,2666,4,10,11,100,670600,266600,1.0,1.0,0.0,0.0,0.000250010984018445,0.000262858928181231,0.0022196719655767083,0.00222877599298954,0.00207744596991688,0.002085670013912022,,ARC-AGI-1,training
b27ca6d3,moore_r2,25,29,3189,8,3197,5798,1595,4,10,11,272,1577056,433840,1.0,1.0,0.0,0.0,0.0008434080518782139,0.0008462950354442,0.0013730470091104507,0.0013909750850871205,0.001707897987216711,0.0017204399919137359,,ARC-AGI-1,training
b2862040,moore_r2,25,88,9327,8,9335,15036,4840,4,10,11,240,3608640,1161600,1.0,1.0,0.0,0.0,0.0007263179868459702,0.0007679470581933856,0.003695168998092413,0.003704471979290247,0.004716870957054198,0.005441060056909919,,ARC-AGI-1,training
b60334d2,moore_r1,9,18,796,8,804,1418,702,4,10,11,81,114858,56862,1.0,1.0,0.0,0.0,0.0001838069874793291,0.00019704306032508612,0.0006768660387024283,0.000695639057084918,0.0005723959766328335,0.0005834120092913508,,ARC-AGI-1,training
b6afb2da,von_neumann_r1,5,19,505,8,513,830,665,4,10,11,100,83000,66500,1.0,1.0,0.0,0.0,0.00019170891027897596,0.00020333100110292435,0.0007030059350654483,0.0007193590281531215,0.0009958420414477587,0.0013004570500925183,,ARC-AGI-1,training
b8825c91,von_neumann_r2,13,78,4470,8,4478,7684,3354,4,10,11,256,1967104,858624,1.0,1.0,0.0,0.0,0.0005767910042777658,0.0005910209147259593,0.0032048700377345085,0.0032196170650422573,0.002936735050752759,0.002942809951491654,,ARC-AGI-1,training
b8cdaf2b,moore_r2,25,12,1420,8,1428,2256,660,4,10,11,81,182736,53460,1.0,1.0,0.0,0.0,0.00026890402659773827,0.00027910491917282343,0.0005120330024510622,0.000532468082383275,0.0006703129038214684,0.0006799420807510614,,ARC-AGI-1,training
ba97ae07,von_neumann_r1,5,5,165,8,173,222,175,4,10,11,66,14652,11550,1.0,1.0,0.0,0.0,0.00012800795957446098,0.00014000700321048498,0.000234873965382576,0.00024905207101255655,0.00018715602345764637,0.00019971095025539398,,ARC-AGI-1,training
bb43febb,von_neumann_r1,5,1,68,8,76,42,35,4,10,11,100,4200,3500,1.0,1.0,0.0,0.0,0.00018453400116413832,0.00019719102419912815,0.00010944704990833998,0.00012446590699255466,0.0001022369833663106,0.00011521496344357729,,ARC-AGI-1,training
bda2d7a6,von_neumann_r1,5,68,1683,8,1691,3092,2380,4,10,11,100,309200,238000,1.0,1.0,0.0,0.0,0.00021151499822735786,0.00023519201204180717,0.004435290000401437,0.004501753952354193,0.0030542101012542844,0.0030663120560348034,,ARC-AGI-1,training
