active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,-1,1.0,,,,,,,,,selected,c8f0f002,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,24,,center,,,-1,1.0,,,,,,,,,selected,c8f0f002,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.9333333333333333,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,1.0,1.0,938,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,c8f0f002,,,,,,,d4_bgpad_sparse,,
20,1.0,1.0,none,,,,,cuda,5.928442987031303,361,1.0,1.0,1.0,1.0,1.0,1cbe151e8483764ea72ecb6630c8bceabc26d7e1f4e2b9a3ce99177fc2866e0e,2704,164,0,15,0.0,1.0,1.0,1.0,0.0,,,,difflogic,,2624,83968,1,1.0,1,same,1.0,1.0,1.0,1.0,4,1,trained,c8f0f002,15,,2460,1,[null],60,dl1,6,3
58,1.0,1.0,none,,,,,cuda,6.339056542958133,361,1.0,1.0,1.0,1.0,1.0,49f84752b4f721eaf512a7a2e6d840700ff01e9c403d7941ef34008b3265fd69,8376,484,0,15,0.0,1.0,1.0,1.0,0.0,,,,difflogic,,7744,247808,2,1.0,1,same,1.0,1.0,1.0,1.0,4,1,trained,c8f0f002,15,,7260,1,[null],60,dl1_wide,6,3
,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,-1,1.0,,,,,,,,,selected,dc1df850,,,,,,,sparse,,
,,,d4,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.9908256880733946,0.6666666666666666,1517,,moore_r1,,,-1,1.0,,,,,,,,,selected,dc1df850,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.9908256880733946,0.6666666666666666,555,,moore_r1,,,-1,1.0,,,,,,,,,selected,dc1df850,,,,,,,d4_bgpad_sparse,,
10,0.9908256880733946,0.6666666666666666,d4,,,,,cuda,6.816563805099577,480,0.74,0.7339449541284404,0.0,0.0,1.0,7c4e4b6c64900c5704c35f2b8059b0e6d63c1e94788bb4d6bbca3da996a1a803,2704,164,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,1,1.0,1,same,0.75,0.0,0.0,0.0,4,1,trained,dc1df850,100,,16400,1,[null],400,dl1,10,10
34,0.9908256880733946,0.6666666666666666,d4,,,,,cuda,7.027178262942471,480,0.28,0.3302752293577982,0.0,0.0,1.0,f1d653bed8226ffd6e6eb2a8b7f26c1f47c6f7e811d8e4888131404f6faddfb9,8376,484,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,1,1.0,1,same,0.28,0.0,0.0,0.0,4,1,trained,dc1df850,100,,48400,1,[null],400,dl1_wide,10,10
