case,family,n_inputs,seed,samples,output_ones,output_entropy_bits,truth_table_bits,best_function_language,best_function_bits,anf_terms,anf_degree,anf_gate_upper,best_robdd_nodes,best_robdd_order,threshold_exact,minimum_formula_gates,minimum_formula_exact,language,model_bits,residual_bits,total_bits,errors,empirical_error,exact,detail,selected,raw_label_baseline_bits,safe_compression_gain_bits,occam_bound_iid_illustration_delta05
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ANF,16,1,21,0,0.0,1.0,4 nonzero coefficients,0.0,20,0,0.7258330533934977
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ROBDD,65,1,70,0,0.0,1.0,"7 nodes; order=(0, 1, 2, 3)",0.0,20,0,1.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,ExactFormula,31,1,36,0,0.0,1.0,3 minimum formula gates; (x0 XOR (x1 XOR (x2 XOR x3))),0.0,20,0,0.9229010576903692
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,7,0.4375,0.0,0,0.0,20,0,0.8868560731881274
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,9,0.5625,0.0,1,0.0,20,0,1.0
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,Literal,3,18,25,5,0.3125,0.0,x0,0.0,20,0,0.8077197282985102
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,SingleGate,6,15,25,3,0.1875,0.0,x0 AND x1,0.0,20,0,0.7444785700307913
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ANF,15,1,20,0,0.0,1.0,3 nonzero coefficients,0.0,20,0,0.7107550717413347
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ROBDD,37,1,42,0,0.0,1.0,"4 nodes; order=(0, 1, 2, 3)",0.0,20,0,0.9908135337393167
sparse_dnf4,sparse_dnf,4,-1,16,7,0.9886994082884974,16,ANF,18,3,4,7,4,0-1-2-3,0.0,3.0,1.0,ExactFormula,31,1,36,0,0.0,1.0,3 minimum formula gates; ((x0 AND x1) OR (x2 AND x3)),0.0,20,0,0.9229010576903692
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,Literal,3,16,23,4,0.25,0.0,x1,0.0,20,0,0.7452197282985102
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,SingleGate,6,16,26,4,0.25,0.0,x0 AND x1,0.0,20,0,0.8069785700307913
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ANF,15,1,20,0,0.0,1.0,3 nonzero coefficients,0.0,20,0,0.7107550717413347
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ROBDD,29,1,34,0,0.0,1.0,"3 nodes; order=(0, 1, 2, 3)",0.0,20,0,0.8991243871128208
mux4,decision,4,-1,16,8,1.0,16,ANF,18,3,2,4,3,0-1-2-3,0.0,3.0,1.0,ExactFormula,31,1,36,0,0.0,1.0,3 minimum formula gates; (x2 XOR (x0 AND (x1 XOR x2))),0.0,20,0,0.9229010576903692
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,KTLabels,0,18,22,0,0.0,1.0,KT mixture over labels,0.0,20,0,
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,Constant,1,18,23,6,0.375,0.0,0,0.0,20,0,0.8243560731881274
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,Constant,1,21,26,10,0.625,0.0,1,0.0,20,0,1.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,Literal,3,18,25,6,0.375,0.0,x2,0.0,20,0,0.8702197282985102
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,SingleGate,6,11,21,2,0.125,0.0,x0 XOR x1,0.0,20,0,0.6819785700307913
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ANF,18,1,23,0,0.0,1.0,6 nonzero coefficients,0.0,20,0,0.755086299825076
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ROBDD,45,1,50,0,0.0,1.0,"5 nodes; order=(0, 1, 2, 3)",0.0,20,0,1.0
reused_subexpr4,reuse,4,-1,16,6,0.9544340029249649,16,TruthTable,19,6,3,13,5,0-1-2-3,0.0,3.0,1.0,ExactFormula,31,1,36,0,0.0,1.0,3 minimum formula gates; ((x0 XOR x1) AND (x2 OR x3)),0.0,20,0,0.9229010576903692
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,Literal,3,16,23,4,0.25,0.0,x1,0.0,20,0,0.7452197282985102
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,SingleGate,6,16,26,4,0.25,0.0,x0 AND x1,0.0,20,0,0.8069785700307913
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ANF,15,1,20,0,0.0,1.0,3 nonzero coefficients,0.0,20,0,0.7107550717413347
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ROBDD,37,1,42,0,0.0,1.0,"4 nodes; order=(0, 2, 3, 1)",0.0,20,0,0.9908135337393167
random_balanced4_s0,random_balanced,4,0,16,8,1.0,16,ANF,18,3,2,3,4,0-2-3-1,0.0,3.0,1.0,ExactFormula,31,1,36,0,0.0,1.0,3 minimum formula gates; (x0 XOR (x1 XOR (x0 OR x3))),0.0,20,0,0.9229010576903692
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,Literal,3,18,25,6,0.375,0.0,x1,0.0,20,0,0.8702197282985102
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,SingleGate,6,16,26,4,0.25,0.0,x1 OR x2,0.0,20,0,0.8069785700307913
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ANF,22,1,27,0,0.0,1.0,7 nonzero coefficients,0.0,20,0,0.8104311924855297
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ROBDD,53,1,58,0,0.0,1.0,"6 nodes; order=(1, 2, 0, 3)",0.0,20,0,1.0
random_balanced4_s1,random_balanced,4,1,16,8,1.0,16,TruthTable,19,7,3,14,6,1-2-0-3,0.0,6.0,1.0,ExactFormula,56,1,61,0,0.0,1.0,6 minimum formula gates; (x1 XOR ((x2 XOR (x0 AND x1)) AND (x0 NAND (x2 XOR x3)))),0.0,20,0,1.0
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,Literal,3,18,25,6,0.375,0.0,~x0,0.0,20,0,0.8702197282985102
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,SingleGate,6,18,28,6,0.375,0.0,x0 NAND x0,0.0,20,0,0.9319785700307913
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,ANF,22,1,27,0,0.0,1.0,8 nonzero coefficients,0.0,20,0,0.8104311924855297
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,ROBDD,75,1,80,0,0.0,1.0,"8 nodes; order=(0, 1, 2, 3)",0.0,20,0,1.0
random_balanced4_s2,random_balanced,4,2,16,8,1.0,16,TruthTable,19,8,3,15,8,0-1-2-3,0.0,7.0,1.0,ExactFormula,68,1,73,0,0.0,1.0,7 minimum formula gates; (x0 XOR ((x1 OR x2) NAND (x3 XOR (x1 AND (x0 NAND (x2 XOR x3)))))),0.0,20,0,1.0
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,Literal,3,16,23,4,0.25,0.0,x1,0.0,20,0,0.7452197282985102
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,SingleGate,6,16,26,4,0.25,0.0,x0 OR x1,0.0,20,0,0.8069785700307913
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,ANF,18,1,23,0,0.0,1.0,6 nonzero coefficients,0.0,20,0,0.755086299825076
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,ROBDD,65,1,70,0,0.0,1.0,"7 nodes; order=(2, 3, 0, 1)",0.0,20,0,1.0
random_balanced4_s3,random_balanced,4,3,16,8,1.0,16,TruthTable,19,6,3,11,7,2-3-0-1,0.0,6.0,1.0,ExactFormula,56,1,61,0,0.0,1.0,6 minimum formula gates; (x0 XOR ((x2 OR x3) AND (x1 XOR (x0 AND (x2 XOR x3))))),0.0,20,0,1.0
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,Literal,3,16,23,4,0.25,0.0,~x1,0.0,20,0,0.7452197282985102
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,SingleGate,6,16,26,4,0.25,0.0,x0 NAND x1,0.0,20,0,0.8069785700307913
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,ANF,22,1,27,0,0.0,1.0,8 nonzero coefficients,0.0,20,0,0.8104311924855297
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,ROBDD,45,1,50,0,0.0,1.0,"5 nodes; order=(0, 3, 2, 1)",0.0,20,0,1.0
random_balanced4_s4,random_balanced,4,4,16,8,1.0,16,TruthTable,19,8,3,17,5,0-3-2-1,0.0,5.0,1.0,ExactFormula,47,1,52,0,0.0,1.0,5 minimum formula gates; ((x0 NAND x1) AND ((x0 XOR x3) NAND (x1 OR x2))),0.0,20,0,1.0
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,Literal,3,18,25,6,0.375,0.0,~x1,0.0,20,0,0.8702197282985102
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,SingleGate,6,18,28,6,0.375,0.0,x0 XOR x1,0.0,20,0,0.9319785700307913
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,TruthTable,16,1,21,0,0.0,1.0,exact raw truth table,0.0,20,0,0.7258330533934977
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,ANF,22,1,27,0,0.0,1.0,9 nonzero coefficients,0.0,20,0,0.8104311924855297
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,ROBDD,75,1,80,0,0.0,1.0,"8 nodes; order=(0, 1, 2, 3)",0.0,20,0,1.0
random_balanced4_s5,random_balanced,4,5,16,8,1.0,16,TruthTable,19,9,3,16,8,0-1-2-3,0.0,6.0,1.0,ExactFormula,56,1,61,0,0.0,1.0,6 minimum formula gates; (x1 XOR ((x0 XOR (x2 NAND x3)) NAND (x2 OR (x1 XOR x3)))),0.0,20,0,1.0
random_balanced4_s6,random_balanced,4,6,16,8,1.0,16,TruthTable,19,7,3,13,4,1-2-0-3,0.0,5.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,0.0,20,2,
