experiment,task,method,seed,spatial_cells,steps,state_bits_per_cell,single_state_storage_bits,synchronous_double_buffer_bits,update_fraction,expected_cell_updates,evaluated_gates_per_cell,expected_gate_evaluations,total_network_gates,reachable_network_gates,active_network_gates,model_description_bits,amortized_model_bits_per_cell_update,residual_bits,total_description_bits,note
E20,density_classification,particle,1,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,801,957,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,1,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,713,869,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,1,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,1,157,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,1,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,1000,1156,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,2,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,1010,1166,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,2,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,943,1099,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,2,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,791,947,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,2,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,685,841,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,2,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,1,157,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,2,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,997,1153,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,0,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,266,424,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,0,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,262,420,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,0,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,225,383,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,0,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,211,369,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,0,153344,1199,1,153344,306688,1.0,183859456.0,0,0.0,0,0,0,158,8.593520476858149e-07,27,185,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,0,153344,1199,1,153344,306688,1.0,183859456.0,0,0.0,0,0,0,158,8.593520476858149e-07,153,311,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,1,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,266,424,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,1,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,263,421,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,1,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,223,381,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,1,153344,1198,1,153344,306688,1.0,183706112.0,0,0.0,0,0,0,158,8.600693699292923e-07,215,373,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,1,153344,1199,1,153344,306688,1.0,183859456.0,0,0.0,0,0,0,158,8.593520476858149e-07,19,177,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,1,153344,1199,1,153344,306688,1.0,183859456.0,0,0.0,0,0,0,158,8.593520476858149e-07,129,287,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,0,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,135,293,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,0,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,134,292,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,0,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,123,281,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,0,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,109,267,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,0,127872,1999,1,127872,255744,1.0,255616128.0,0,0.0,0,0,0,158,6.181143624865486e-07,17,175,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,0,127872,1999,1,127872,255744,1.0,255616128.0,0,0.0,0,0,0,158,6.181143624865486e-07,24,182,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,1,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,130,288,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,1,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,131,289,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,1,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,119,277,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,1,127872,1998,1,127872,255744,1.0,255488256.0,0,0.0,0,0,0,158,6.184237290343396e-07,106,264,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,1,127872,1999,1,127872,255744,1.0,255616128.0,0,0.0,0,0,0,158,6.181143624865486e-07,29,187,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,1,127872,1999,1,127872,255744,1.0,255616128.0,0,0.0,0,0,0,158,6.181143624865486e-07,44,202,Success requires two uniform complementary consecutive states; no partial credit.
E21,long_snake_reachable,BooleanWavefrontFull,0,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,0,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,1,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,1,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,2,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,2,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,3,256,38,2,512,1024,1.0,9728.0,5,48640.0,5,5,5,76,0.0078125,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,3,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,4,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,4,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,5,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,5,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,6,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,6,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,7,256,3,2,512,1024,1.0,768.0,5,3840.0,5,5,5,71,0.09244791666666667,1,72,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,7,256,3,2,512,1024,1.0,768.0,5,3840.0,5,5,5,71,0.09244791666666667,1,72,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,8,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,8,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,9,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,9,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,10,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,10,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,11,256,29,2,512,1024,1.0,7424.0,5,37120.0,5,5,5,75,0.010102370689655173,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,11,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,12,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,12,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,13,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,13,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,14,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,14,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,15,256,34,2,512,1024,1.0,8704.0,5,43520.0,5,5,5,76,0.008731617647058824,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,15,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,16,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,16,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,17,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,17,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,18,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,18,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,19,256,31,2,512,1024,1.0,7936.0,5,39680.0,5,5,5,76,0.009576612903225807,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,19,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,20,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,20,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,21,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,21,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,22,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,22,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,23,256,44,2,512,1024,1.0,11264.0,5,56320.0,5,5,5,76,0.006747159090909091,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,23,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,24,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,24,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,25,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,25,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,26,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,26,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,27,256,36,2,512,1024,1.0,9216.0,5,46080.0,5,5,5,76,0.008246527777777778,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,27,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,28,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,28,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,29,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,29,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,30,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,30,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,31,256,33,2,512,1024,1.0,8448.0,5,42240.0,5,5,5,76,0.008996212121212122,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,31,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,32,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,32,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,33,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,33,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,BooleanWavefrontFull,34,256,30,2,512,1024,1.0,7680.0,5,38400.0,5,5,5,75,0.009765625,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_carved_reachable,FixedK16Wavefront,34,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,BooleanWavefrontFull,35,256,32,2,512,1024,1.0,8192.0,5,40960.0,5,5,5,76,0.00927734375,1,77,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,random_isolated_target,FixedK16Wavefront,35,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,BooleanWavefrontFull,36,256,134,2,512,1024,1.0,34304.0,5,171520.0,5,5,5,80,0.0023320895522388058,1,81,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_reachable,FixedK16Wavefront,36,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,4,79,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,BooleanWavefrontFull,37,256,76,2,512,1024,1.0,19456.0,5,97280.0,5,5,5,77,0.003957648026315789,1,78,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
E21,long_snake_blocked,FixedK16Wavefront,37,256,16,2,512,1024,1.0,4096.0,5,20480.0,5,5,5,75,0.018310546875,1,76,Exact symbolic grid input; iteration bound is charged separately from the five-gate local rule.
