scope,train_fraction,seed,width,layers,queries,method,accuracy,balanced_accuracy,positive_accuracy,negative_accuracy,median_query_ms,iqr_query_ms
learned_gate_bfs,0.5,4,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04535,0.006600000000000002
learned_gate_bfs,0.5,4,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04,0.001025000000000005
learned_gate_bfs,0.5,4,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07175000000000001,0.01185
learned_gate_bfs,0.5,4,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0635,0.0013249999999999929
learned_gate_bfs,0.5,4,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0328,0.013074999999999996
learned_gate_bfs,0.5,4,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.02355,0.0011999999999999997
learned_gate_bfs,0.5,4,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0553,0.017675000000000003
learned_gate_bfs,0.5,4,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0442,0.0015999999999999973
learned_gate_bfs,0.5,4,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07830000000000001,0.024050000000000002
learned_gate_bfs,0.5,4,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0654,0.0022999999999999965
learned_gate_bfs,0.5,5,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0243,0.004400000000000001
learned_gate_bfs,0.5,5,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.021,0.0010250000000000016
learned_gate_bfs,0.5,5,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0432,0.004825000000000003
learned_gate_bfs,0.5,5,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.03975,0.0010000000000000009
learned_gate_bfs,0.5,5,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0624,0.004899999999999995
learned_gate_bfs,0.5,5,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.05885,0.0015000000000000013
learned_gate_bfs,0.5,5,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02555,0.0052250000000000005
learned_gate_bfs,0.5,5,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0225,0.0010000000000000009
learned_gate_bfs,0.5,5,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04625,0.007324999999999998
learned_gate_bfs,0.5,5,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04065,0.0023999999999999994
learned_gate_bfs,0.5,5,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0722,0.017775
learned_gate_bfs,0.5,5,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.06384999999999999,0.0024249999999999966
learned_gate_bfs,0.5,5,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0359,0.019125000000000003
learned_gate_bfs,0.5,5,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0238,0.0014250000000000027
learned_gate_bfs,0.5,5,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.05985,0.02427499999999999
learned_gate_bfs,0.5,5,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.044649999999999995,0.0017000000000000001
learned_gate_bfs,0.5,5,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07765,0.0305
learned_gate_bfs,0.5,5,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0657,0.0021000000000000046
learned_gate_bfs,0.5,6,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.024300000000000002,0.004225000000000003
learned_gate_bfs,0.5,6,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.022,0.000725
learned_gate_bfs,0.5,6,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0449,0.004699999999999996
learned_gate_bfs,0.5,6,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0416,0.0010000000000000009
learned_gate_bfs,0.5,6,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0648,0.005024999999999995
learned_gate_bfs,0.5,6,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0615,0.0011999999999999997
learned_gate_bfs,0.5,6,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.025849999999999998,0.004725
learned_gate_bfs,0.5,6,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.022150000000000003,0.000725
learned_gate_bfs,0.5,6,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.045149999999999996,0.006449999999999997
learned_gate_bfs,0.5,6,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04085,0.0019500000000000073
learned_gate_bfs,0.5,6,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07195,0.013275000000000009
learned_gate_bfs,0.5,6,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.064,0.0015999999999999903
learned_gate_bfs,0.5,6,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.030100000000000002,0.014075
learned_gate_bfs,0.5,6,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0237,0.0013250000000000033
learned_gate_bfs,0.5,6,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0565,0.019025
learned_gate_bfs,0.5,6,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04445,0.0017000000000000001
learned_gate_bfs,0.5,6,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07575,0.025075
learned_gate_bfs,0.5,6,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0657,0.0020000000000000018
learned_gate_bfs,0.5,7,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0251,0.004225
learned_gate_bfs,0.5,7,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0217,0.0009000000000000015
learned_gate_bfs,0.5,7,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0445,0.0049999999999999975
learned_gate_bfs,0.5,7,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0423,0.0014250000000000027
learned_gate_bfs,0.5,7,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0638,0.005699999999999997
learned_gate_bfs,0.5,7,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.061,0.004224999999999993
learned_gate_bfs,0.5,7,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02475,0.004625000000000001
learned_gate_bfs,0.5,7,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0215,0.0013000000000000025
learned_gate_bfs,0.5,7,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0479,0.007875
learned_gate_bfs,0.5,7,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0425,0.0020999999999999977
learned_gate_bfs,0.5,7,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07175,0.013024999999999995
learned_gate_bfs,0.5,7,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0638,0.0017250000000000043
learned_gate_bfs,0.5,7,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.03565,0.017750000000000002
learned_gate_bfs,0.5,7,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0238,0.0015000000000000013
learned_gate_bfs,0.5,7,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.05885,0.0262
learned_gate_bfs,0.5,7,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04475,0.002050000000000003
learned_gate_bfs,0.5,7,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07725,0.02502499999999999
learned_gate_bfs,0.5,7,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0655,0.0019750000000000045
learned_gate_bfs,0.5,8,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0241,0.003724999999999999
learned_gate_bfs,0.5,8,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0209,0.0007500000000000007
learned_gate_bfs,0.5,8,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0433,0.0046
learned_gate_bfs,0.5,8,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0397,0.0012999999999999956
learned_gate_bfs,0.5,8,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.06225,0.005274999999999995
learned_gate_bfs,0.5,8,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0589,0.001800000000000003
