suite,seed,task,method,test_balanced_accuracy,operator_recovered,inputs_recovered,topology_recovered,rejected_hardening,description_bits,gate_count,fit_seconds,margin,rate_score,inference_us_per_1000,train_balanced_accuracy,validation_balanced_accuracy,probability_mse,soft_probability_mse
multi_rule_distractors,0,NAND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.03194363403599709,0.9859247248798634,,6.341433618217707,,,,
multi_rule_distractors,0,NAND,RateGuidedGateSelector,0.5057416267942584,0.0,0.0,,,7,1.0,0.0,,0.0,2.112472429871559,,,,
multi_rule_distractors,0,NAND,TinyMLP,1.0,,,,,5152,,0.07535092497710139,,,96.87547571957111,,,,
unseen_composition,0,depth_2,Depth1OperatorLibrary,1.0,1.0,,,,6,3.0,0.0,,,,,,,
unseen_composition,0,depth_3,Depth1OperatorLibrary,1.0,1.0,,,,14,7.0,0.0,,,,,,,
task_only_reachability,0,AND,TaskOnlyRuleTopologySearch,1.0,1.0,1.0,1.0,,11,1.0,0.0,0.06874999999999998,,,1.0,,,
task_only_reachability,0,AND,FixedANDDenseTopology,0.625,,,,,11,1.0,0.0,,,,,,,
hardening_negative_control,0,majority3,DifferentiableGateSelector,0.7903225806451613,,,,1.0,7,1.0,0.051228000898845494,0.050391884661575265,,,,0.6666666666666666,,
hardening_negative_control,0,parity4,DifferentiableGateSelector,0.4753846153846154,,,,1.0,7,1.0,0.04968339600600302,0.06912010511401062,,,,0.4349753694581281,,
hardening_negative_control,0,random_lut,DifferentiableGateSelector,0.615686274509804,,,,1.0,7,1.0,0.050296670058742166,0.014085597708692582,,,,0.4574574574574575,,
hardening_negative_control,0,continuous_threshold,DifferentiableGateSelector,0.717741935483871,,,,1.0,7,1.0,0.07685619592666626,0.12771181802557374,,,,0.7635658914728682,,
hardening_negative_control,0,probability_product,HardenedAND,,,,,1.0,2,1.0,0.0,,,,,,0.08621202720483298,0.0
multi_rule_distractors,1,AND,FixedAND,0.6414965986394559,,,,,2,1.0,0.0,,,1.6124686226248741,,,,
multi_rule_distractors,1,AND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.03261197602842003,0.9883836085774279,,4.055502358824015,,,,
multi_rule_distractors,1,AND,RateGuidedGateSelector,0.6414965986394559,1.0,0.0,,,7,1.0,0.0,,0.0,2.068991307169199,,,,
multi_rule_distractors,1,AND,TinyMLP,1.0,,,,,5152,,0.07699350907932967,,,93.31741603091359,,,,
multi_rule_distractors,1,OR,FixedAND,0.5208333333333334,,,,,2,1.0,0.0,,,1.5765544958412647,,,,
multi_rule_distractors,1,OR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.03299683495424688,0.9859508373644467,,4.110508598387241,,,,
multi_rule_distractors,1,OR,RateGuidedGateSelector,0.5208333333333334,0.0,0.0,,,7,1.0,0.0,,0.0,2.1624728105962276,,,,
multi_rule_distractors,1,OR,TinyMLP,1.0,,,,,5152,,0.07585426501464099,,,126.82296801358461,,,,
multi_rule_distractors,1,XOR,FixedAND,0.4750733137829912,,,,,2,1.0,0.0,,,1.5765544958412647,,,,
multi_rule_distractors,1,XOR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.061682792962528765,0.9869291774237562,,4.149449523538351,,,,
multi_rule_distractors,1,XOR,RateGuidedGateSelector,0.4750733137829912,0.0,0.0,,,7,1.0,0.0,,0.0,2.029002644121647,,,,
multi_rule_distractors,1,XOR,TinyMLP,1.0,,,,,5152,,0.10978036897722632,,,131.8525173701346,,,,
multi_rule_distractors,1,NAND,FixedAND,0.3617206548241031,,,,,2,1.0,0.0,,,1.5589757822453976,,,,
multi_rule_distractors,1,NAND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.09717543493025005,0.9853572309221152,,6.287998985499144,,,,
multi_rule_distractors,1,NAND,RateGuidedGateSelector,0.3617206548241031,0.0,0.0,,,7,1.0,0.0,,0.0,2.0465231500566006,,,,
multi_rule_distractors,1,NAND,TinyMLP,1.0,,,,,5152,,0.10732808103784919,,,129.61600441485643,,,,
unseen_composition,1,depth_2,Depth1OperatorLibrary,1.0,1.0,,,,6,3.0,0.0,,,,,,,
unseen_composition,1,depth_3,Depth1OperatorLibrary,1.0,1.0,,,,14,7.0,0.0,,,,,,,
task_only_reachability,1,OR,TaskOnlyRuleTopologySearch,1.0,1.0,1.0,1.0,,11,1.0,0.0,0.15625,,,1.0,,,
task_only_reachability,1,OR,FixedANDDenseTopology,0.49583333333333335,,,,,11,1.0,0.0,,,,,,,
hardening_negative_control,1,majority3,DifferentiableGateSelector,0.75,,,,1.0,7,1.0,0.050247736973688006,0.022856634983691365,,,,0.7,,
hardening_negative_control,1,parity4,DifferentiableGateSelector,0.458128078817734,,,,1.0,7,1.0,0.039269865956157446,0.05308276938723207,,,,0.375,,
hardening_negative_control,1,random_lut,DifferentiableGateSelector,0.515625,,,,1.0,7,1.0,0.03515512403100729,0.04431245297207417,,,,0.4624624624624625,,
hardening_negative_control,1,continuous_threshold,DifferentiableGateSelector,0.7307692307692308,,,,1.0,7,1.0,0.06096537900157273,0.013575089440193755,,,,0.7700729927007299,,
hardening_negative_control,1,probability_product,HardenedAND,,,,,1.0,2,1.0,0.0,,,,,,0.08124146589012889,0.0
multi_rule_distractors,2,AND,FixedAND,0.7291320252743598,,,,,2,1.0,0.0,,,1.616950612515211,,,,
multi_rule_distractors,2,AND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.032857161946594715,0.9875769020186843,,4.0664453990757465,,,,
multi_rule_distractors,2,AND,RateGuidedGateSelector,0.7291320252743598,1.0,0.0,,,7,1.0,0.0,,0.0,2.0559527911245823,,,,
multi_rule_distractors,2,AND,TinyMLP,1.0,,,,,5152,,0.07867344503756613,,,127.06546112895012,,,,
multi_rule_distractors,2,OR,FixedAND,0.6702127659574468,,,,,2,1.0,0.0,,,1.5999539755284786,,,,
multi_rule_distractors,2,OR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.051766125950962305,0.9864195413897198,,4.143512342125177,,,,
multi_rule_distractors,2,OR,RateGuidedGateSelector,0.6702127659574468,0.0,1.0,,,7,1.0,0.0,,0.0,2.0475126802921295,,,,
multi_rule_distractors,2,OR,TinyMLP,1.0,,,,,5152,,0.08982376498170197,,,128.1260047107935,,,,
multi_rule_distractors,2,XOR,FixedAND,0.5099484156226971,,,,,2,1.0,0.0,,,1.5915138646960258,,,,
multi_rule_distractors,2,XOR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.050371555029414594,0.9862064299440926,,4.162488039582968,,,,
multi_rule_distractors,2,XOR,RateGuidedGateSelector,0.5099484156226971,0.0,0.0,,,7,1.0,0.0,,0.0,2.034474164247513,,,,
multi_rule_distractors,2,XOR,TinyMLP,1.0,,,,,5152,,0.08907393598929048,,,129.11600060760975,,,,
multi_rule_distractors,2,NAND,FixedAND,0.47416267942583734,,,,,2,1.0,0.0,,,1.601001713424921,,,,
multi_rule_distractors,2,NAND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.049537926097400486,0.9868049592490526,,6.327987648546696,,,,
multi_rule_distractors,2,NAND,RateGuidedGateSelector,0.47416267942583734,0.0,0.0,,,7,1.0,0.0,,0.0,2.066022716462612,,,,
multi_rule_distractors,2,NAND,TinyMLP,1.0,,,,,5152,,0.0891733180033043,,,129.22449968755245,,,,
unseen_composition,2,depth_2,Depth1OperatorLibrary,1.0,1.0,,,,6,3.0,0.0,,,,,,,
unseen_composition,2,depth_3,Depth1OperatorLibrary,1.0,1.0,,,,14,7.0,0.0,,,,,,,
task_only_reachability,2,XOR,TaskOnlyRuleTopologySearch,1.0,1.0,1.0,1.0,,11,1.0,0.0,0.17500000000000004,,,1.0,,,
task_only_reachability,2,XOR,FixedANDDenseTopology,0.575,,,,,11,1.0,0.0,,,,,,,
hardening_negative_control,2,majority3,DifferentiableGateSelector,0.7121212121212122,,,,1.0,7,1.0,0.05271051393356174,4.632391954390025e-05,,,,0.7352941176470589,,
hardening_negative_control,2,parity4,DifferentiableGateSelector,0.42277614858260015,,,,1.0,7,1.0,0.04965867707505822,0.013221858344337617,,,,0.4291497975708502,,
hardening_negative_control,2,random_lut,DifferentiableGateSelector,0.5049261083743842,,,,1.0,7,1.0,0.04964090697467327,0.011670562609574636,,,,0.4920634920634921,,
hardening_negative_control,2,continuous_threshold,DifferentiableGateSelector,0.7661290322580645,,,,1.0,7,1.0,0.08216230000834912,0.0728474807289648,,,,0.7294520547945206,,
hardening_negative_control,2,probability_product,HardenedAND,,,,,1.0,2,1.0,0.0,,,,,,0.08717805143929745,0.0
multi_rule_distractors,3,AND,FixedAND,0.6503401360544218,,,,,2,1.0,0.0,,,1.5854602679610252,,,,
multi_rule_distractors,3,AND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05772214999888092,0.9883247666559135,,4.072033334523439,,,,
multi_rule_distractors,3,AND,RateGuidedGateSelector,0.6503401360544218,1.0,0.0,,,7,1.0,0.0,,0.0,2.057524397969246,,,,
multi_rule_distractors,3,AND,TinyMLP,1.0,,,,,5152,,0.10715309903025627,,,126.12604768946767,,,,
multi_rule_distractors,3,OR,FixedAND,0.5165832290362954,,,,,2,1.0,0.0,,,1.598498784005642,,,,
multi_rule_distractors,3,OR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05088979401625693,0.9863509026757654,,4.052941221743822,,,,
multi_rule_distractors,3,OR,RateGuidedGateSelector,0.5165832290362954,0.0,0.0,,,7,1.0,0.0,,0.0,2.0834850147366524,,,,
multi_rule_distractors,3,OR,TinyMLP,1.0,,,,,5152,,0.10698842897545546,,,130.5589685216546,,,,
multi_rule_distractors,3,XOR,FixedAND,0.45381231671554256,,,,,2,1.0,0.0,,,1.5764962881803513,,,,
multi_rule_distractors,3,XOR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05020051100291312,0.9864687871488566,,4.167493898421526,,,,
multi_rule_distractors,3,XOR,RateGuidedGateSelector,0.45381231671554256,0.0,0.0,,,7,1.0,0.0,,0.0,2.033018972724676,,,,
multi_rule_distractors,3,XOR,TinyMLP,1.0,,,,,5152,,0.10726627800613642,,,128.08898463845253,,,,
multi_rule_distractors,3,NAND,FixedAND,0.48070175438596485,,,,,2,1.0,0.0,,,1.579464878886938,,,,
multi_rule_distractors,3,NAND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05016163003165275,0.9863266227313519,,6.349931936711073,,,,
multi_rule_distractors,3,NAND,RateGuidedGateSelector,0.48070175438596485,0.0,0.0,,,7,1.0,0.0,,0.0,2.039480023086071,,,,
multi_rule_distractors,3,NAND,TinyMLP,1.0,,,,,5152,,0.10734451201278716,,,126.34252198040485,,,,
unseen_composition,3,depth_2,Depth1OperatorLibrary,1.0,1.0,,,,6,3.0,0.0,,,,,,,
unseen_composition,3,depth_3,Depth1OperatorLibrary,1.0,1.0,,,,14,7.0,0.0,,,,,,,
task_only_reachability,3,NAND,TaskOnlyRuleTopologySearch,1.0,1.0,1.0,1.0,,11,1.0,0.0,0.11874999999999991,,,1.0,,,
task_only_reachability,3,NAND,FixedANDDenseTopology,0.6041666666666667,,,,,11,1.0,0.0,,,,,,,
hardening_negative_control,3,majority3,DifferentiableGateSelector,0.6666666666666666,,,,1.0,7,1.0,0.0369595589581877,0.03906444338846585,,,,0.7638888888888888,,
hardening_negative_control,3,parity4,DifferentiableGateSelector,0.4068627450980392,,,,1.0,7,1.0,0.03646256902720779,0.006369260360736526,,,,0.41865079365079366,,
hardening_negative_control,3,random_lut,DifferentiableGateSelector,0.6245098039215686,,,,1.0,7,1.0,0.035299243056215346,0.011212447545440457,,,,0.5860215053763441,,
hardening_negative_control,3,continuous_threshold,DifferentiableGateSelector,0.7401574803149606,,,,1.0,7,1.0,0.061420171055942774,0.021750150400036028,,,,0.753968253968254,,
hardening_negative_control,3,probability_product,HardenedAND,,,,,1.0,2,1.0,0.0,,,,,,0.08214658470628601,0.0
multi_rule_distractors,4,AND,FixedAND,0.5052083333333333,,,,,2,1.0,0.0,,,1.6459962353110313,,,,
multi_rule_distractors,4,AND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.0329163660062477,0.9880652599655363,,4.130008164793253,,,,
multi_rule_distractors,4,AND,RateGuidedGateSelector,0.5052083333333333,1.0,0.0,,,7,1.0,0.0,,0.0,2.0395382307469845,,,,
multi_rule_distractors,4,AND,TinyMLP,1.0,,,,,5152,,0.07734883693046868,,,131.1670639552176,,,,
multi_rule_distractors,4,OR,FixedAND,0.6631578947368422,,,,,2,1.0,0.0,,,1.5834229998290539,,,,
multi_rule_distractors,4,OR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05071723600849509,0.9870435004954192,,4.105968400835991,,,,
multi_rule_distractors,4,OR,RateGuidedGateSelector,0.6631578947368422,0.0,0.0,,,7,1.0,0.0,,0.0,2.0150328055024147,,,,
multi_rule_distractors,4,OR,TinyMLP,1.0,,,,,5152,,0.08850860001984984,,,127.42949184030294,,,,
multi_rule_distractors,4,XOR,FixedAND,0.5137254901960784,,,,,2,1.0,0.0,,,1.6045523807406425,,,,
multi_rule_distractors,4,XOR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.050724553992040455,0.9866980208120013,,4.231056664139032,,,,
multi_rule_distractors,4,XOR,RateGuidedGateSelector,0.5137254901960784,0.0,0.0,,,7,1.0,0.0,,0.0,2.0125298760831356,,,,
multi_rule_distractors,4,XOR,TinyMLP,1.0,,,,,5152,,0.0889660520479083,,,127.98752868548036,,,,
multi_rule_distractors,4,NAND,FixedAND,0.5365813102760226,,,,,2,1.0,0.0,,,1.595530193299055,,,,
multi_rule_distractors,4,NAND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.049871735041961074,0.9857435715128757,,6.264483090490103,,,,
multi_rule_distractors,4,NAND,RateGuidedGateSelector,0.5365813102760226,0.0,0.0,,,7,1.0,0.0,,0.0,2.1694577299058437,,,,
multi_rule_distractors,4,NAND,TinyMLP,1.0,,,,,5152,,0.08989663398824632,,,127.79055396094918,,,,
unseen_composition,4,depth_2,Depth1OperatorLibrary,1.0,1.0,,,,6,3.0,0.0,,,,,,,
unseen_composition,4,depth_3,Depth1OperatorLibrary,1.0,1.0,,,,14,7.0,0.0,,,,,,,
task_only_reachability,4,AND,TaskOnlyRuleTopologySearch,1.0,1.0,1.0,1.0,,11,1.0,0.0,0.0625,,,1.0,,,
task_only_reachability,4,AND,FixedANDDenseTopology,0.6125,,,,,11,1.0,0.0,,,,,,,
hardening_negative_control,4,majority3,DifferentiableGateSelector,0.7121212121212122,,,,1.0,7,1.0,0.03505135397426784,0.06781956933887542,,,,0.7121212121212122,,
hardening_negative_control,4,parity4,DifferentiableGateSelector,0.47549019607843135,,,,1.0,7,1.0,0.03217418899293989,0.03642467050868081,,,,0.3724340175953079,,
hardening_negative_control,4,random_lut,DifferentiableGateSelector,0.5079365079365079,,,,1.0,7,1.0,0.03221079194918275,0.0776533326737365,,,,0.4384920634920635,,
hardening_negative_control,4,continuous_threshold,DifferentiableGateSelector,0.778169014084507,,,,1.0,7,1.0,0.07151318702381104,0.04283841473552008,,,,0.7653846153846153,,
hardening_negative_control,4,probability_product,HardenedAND,,,,,1.0,2,1.0,0.0,,,,,,0.0756092328654489,0.0
