experiment,task,case,method,seed,samples,local_accuracy,local_balanced_accuracy,gate_count,depth,model_bits,truth_table_bits,expression,cell_accuracy,exact_trajectory,first_divergence_step,exact_final_state,exact_step_fraction,fit_seconds
E19,eca_catalog,rule_23,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x0 XOR x2) NAND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_24,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x1 XOR x2) AND (x0 XOR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_25,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 NAND (x0 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_26,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x0 OR (x1 AND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_27,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 NAND (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_28,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x1 OR (x0 AND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_29,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_30,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 XOR (x0 OR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_31,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 NAND (x0 OR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_32,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 AND (x1 XOR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_33,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(1 XOR (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_34,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x0 AND x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_35,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x0 OR (x1 OR (x2 NAND x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_36,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x1 XOR x2) AND (x0 XOR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_37,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 NAND (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_38,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 OR (x1 AND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_39,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x0 NAND (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_40,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 AND (x1 XOR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_41,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x1 XOR ((x1 NAND x2) NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_42,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 AND (x1 NAND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_43,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x1 XOR ((x1 XOR x2) NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_44,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 AND (x0 OR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_45,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 XOR (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_46,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_47,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 NAND (x0 NAND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_48,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 XOR (x1 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_49,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 XOR (x0 NAND (x1 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_50,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 OR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_51,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x1 NAND x1),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_52,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 OR (x0 AND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_53,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 NAND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_54,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 XOR (x0 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_55,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 NAND (x0 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_56,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x1 AND (x0 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_57,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 XOR (x0 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_58,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 OR (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_59,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 NAND (x0 NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_60,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x1 XOR x2),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_61,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 OR (1 XOR (x0 OR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_62,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 OR (x0 XOR (x0 AND x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_63,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x1 NAND x2),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_64,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 OR (x1 AND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_65,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(1 XOR (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_66,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x0 XOR x2) AND (x0 XOR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_67,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 NAND (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_68,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x0 OR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_69,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x0 OR (x1 OR (x2 NAND x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_70,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 OR (x0 AND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_71,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x1 NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_72,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 AND (x0 XOR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_73,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x1 XOR x2) NAND (x0 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_74,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 AND (x0 OR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_75,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 XOR (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_76,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 AND (x0 NAND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_77,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x1 XOR x2) NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_78,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_79,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 NAND (x0 OR (x1 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_80,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x0 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_81,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x0 OR (x1 NAND (x1 XOR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_82,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 OR (x0 AND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_83,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x2 NAND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_84,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 OR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_85,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 NAND x0),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_86,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x1 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_87,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 NAND (x1 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_88,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x0 AND (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_89,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 NAND (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_90,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 XOR x2),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_91,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 OR (1 XOR (x0 OR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_92,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x2 OR (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_93,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 NAND (x1 NAND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_94,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 OR (x0 XOR (x0 OR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_95,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 NAND x2),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_96,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 AND (x0 XOR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_97,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x1 XOR x2) NAND (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_98,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 AND (x0 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_99,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 OR (x2 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_100,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 AND (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_101,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 OR (x2 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_102,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 XOR x1),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_103,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 OR (1 XOR (x0 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_104,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,((x0 AND x1) XOR (x2 AND (x0 OR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_105,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 XOR (x2 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_106,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x1 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_107,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 XOR (x0 NAND (x1 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_108,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 XOR (x0 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_109,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 XOR (x1 NAND (x0 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_110,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 AND (x0 NAND (x0 XOR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_111,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 NAND (x0 XOR (x1 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_112,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 AND (x0 NAND x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_113,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x1 XOR x2) NAND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_114,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_115,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 NAND (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_116,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_117,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 NAND (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_118,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 OR (x0 XOR (x0 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_119,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 NAND x1),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_120,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 XOR (x0 AND x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_121,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 XOR (x2 NAND (x0 OR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_122,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 AND (x0 NAND (x0 XOR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_123,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 NAND (x0 XOR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_124,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 AND (x0 OR (x1 NAND x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_125,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 NAND (x0 XOR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_126,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x0 XOR x2) OR (x0 XOR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_127,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 NAND (x1 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_128,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 AND (x1 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_129,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(1 XOR ((x0 XOR x2) OR (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_130,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 AND (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_131,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 NAND (x0 OR (x1 NAND x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_132,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 AND (x0 XOR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_133,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 NAND (x0 NAND (x0 XOR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_134,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 XOR (x2 AND (x0 OR x1)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_135,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 XOR (x0 NAND x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_136,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x0 AND x1),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_137,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,((x0 NAND x1) XOR (x0 OR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_138,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 AND (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_139,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x0 NAND x1) XOR (x1 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_140,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 AND (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_141,ExactFormulaCatalog,-1,8,1.0,1.0,3,2.0,28.0,8,((x0 NAND x1) XOR (x0 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_142,ExactFormulaCatalog,-1,8,1.0,1.0,4,3.0,37.0,8,(x0 XOR ((x1 XOR x2) AND (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_143,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x2 NAND (x0 NAND x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_144,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 AND (x0 XOR (x1 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_145,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 NAND (x0 NAND (x0 XOR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_146,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 XOR (x1 AND (x0 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_147,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 XOR (x0 NAND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_148,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 XOR (x0 AND (x1 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_149,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x1 NAND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_150,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x1 XOR x2)),1.0,1.0,-1.0,,,
