seed,condition,grid_size,samples,method,accuracy,balanced_accuracy,brier,cell_grounding_accuracy,cell_grounding_ece,source_localization_accuracy,target_localization_accuracy,fallback_rate,soft_threshold,confidence_threshold,encoder_ms_per_image,median_solver_ms,selected_gate,encoder_temperature,encoder_fit_seconds,gate_fit_seconds
1,size_ood,10,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.04781399969942868,0.0517,AND,0.08,0.5808507001493126,5.430492900079116
1,size_ood,10,400,SoftNeuroSymbolic,1.0,1.0,0.0009886447906257473,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.04781399969942868,0.1337,AND,0.08,0.5808507001493126,5.430492900079116
1,size_ood,10,400,HybridFallback,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.04781399969942868,0.0517,AND,0.08,0.5808507001493126,5.430492900079116
2,clean,8,400,OracleBFS,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.030527999624609947,0.032,AND,0.08,0.5947387998457998,5.033403400098905
2,clean,8,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.030527999624609947,0.03375,AND,0.08,0.5947387998457998,5.033403400098905
2,clean,8,400,SoftNeuroSymbolic,1.0,1.0,0.0006199763962623646,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.030527999624609947,0.1016,AND,0.08,0.5947387998457998,5.033403400098905
2,clean,8,400,HybridFallback,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.030527999624609947,0.03375,AND,0.08,0.5947387998457998,5.033403400098905
2,correlated_occlusion,8,400,OracleBFS,1.0,1.0,0.0,0.977734375,0.020568909977923513,0.9725,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.0288427498890087,0.0323,AND,0.08,0.5947387998457998,5.033403400098905
2,correlated_occlusion,8,400,HardNeuroSymbolic,0.9075,0.9075,0.0925,0.977734375,0.020568909977923513,0.9725,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.0288427498890087,0.033549999999999996,AND,0.08,0.5947387998457998,5.033403400098905
2,correlated_occlusion,8,400,SoftNeuroSymbolic,0.965,0.965,0.08806339370229081,0.977734375,0.020568909977923513,0.9725,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.0288427498890087,0.10105,AND,0.08,0.5947387998457998,5.033403400098905
2,correlated_occlusion,8,400,HybridFallback,0.965,0.965,0.09108879812485199,0.977734375,0.020568909977923513,0.9725,1.0,0.1725,0.0002592943797404667,0.11977777777777779,0.0288427498890087,0.0351,AND,0.08,0.5947387998457998,5.033403400098905
2,size_ood,10,400,OracleBFS,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.044836250017397106,0.0499,AND,0.08,0.5947387998457998,5.033403400098905
2,size_ood,10,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.044836250017397106,0.0521,AND,0.08,0.5947387998457998,5.033403400098905
2,size_ood,10,400,SoftNeuroSymbolic,1.0,1.0,0.001046729128236245,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.044836250017397106,0.1382,AND,0.08,0.5947387998457998,5.033403400098905
2,size_ood,10,400,HybridFallback,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0002592943797404667,0.11977777777777779,0.044836250017397106,0.0521,AND,0.08,0.5947387998457998,5.033403400098905
