truth_mask,minimum_formula_gates,parity4_minimum_formula_gates,no_more_complex_than_parity
43349,3,3,1.0
38570,3,3,1.0
21910,3,3,1.0
26965,3,3,1.0
38314,3,3,1.0
21909,3,3,1.0
27285,3,3,1.0
27221,3,3,1.0
43433,3,3,1.0
43673,3,3,1.0
43685,3,3,1.0
58596,3,3,1.0
29298,3,3,1.0
6939,3,3,1.0
60996,3,3,1.0
30498,3,3,1.0
4539,3,3,1.0
25443,3,3,1.0
27852,3,3,1.0
13926,3,3,1.0
37683,3,3,1.0
26220,3,3,1.0
13110,3,3,1.0
39315,3,3,1.0
50796,3,3,1.0
25398,3,3,1.0
14739,3,3,1.0
50790,3,3,1.0
25395,3,3,1.0
14745,3,3,1.0
26163,3,3,1.0
44204,3,3,1.0
14906,3,3,1.0
21331,3,3,1.0
19275,3,3,1.0
13884,3,3,1.0
38460,3,3,1.0
15468,3,3,1.0
50070,3,3,1.0
50067,3,3,1.0
40044,3,3,1.0
14646,3,3,1.0
25491,3,3,1.0
39996,3,3,1.0
14643,3,3,1.0
27075,3,3,1.0
25539,3,3,1.0
61500,3,3,1.0
50160,3,3,1.0
64524,3,3,1.0
16176,3,3,1.0
1011,3,3,1.0
4035,3,3,1.0
52284,3,3,1.0
50124,3,3,1.0
13251,3,3,1.0
15411,3,3,1.0
15555,3,3,1.0
43724,3,3,1.0
13226,3,3,1.0
21811,3,3,1.0
17595,3,3,1.0
13164,3,3,1.0
37740,3,3,1.0
14028,3,3,1.0
51510,3,3,1.0
51507,3,3,1.0
38604,3,3,1.0
13206,3,3,1.0
26931,3,3,1.0
37836,3,3,1.0
13203,3,3,1.0
27795,3,3,1.0
27699,3,3,1.0
62220,3,3,1.0
53040,3,3,1.0
61644,3,3,1.0
13296,3,3,1.0
3891,3,3,1.0
3315,3,3,1.0
51657,3,3,1.0
52377,3,3,1.0
52419,3,3,1.0
55512,3,3,1.0
20046,3,3,1.0
10023,3,3,1.0
30960,3,3,1.0
7770,3,3,1.0
34575,3,3,1.0
23160,3,3,1.0
3870,3,3,1.0
42375,3,3,1.0
53880,3,3,1.0
19230,3,3,1.0
11655,3,3,1.0
53850,3,3,1.0
19215,3,3,1.0
11685,3,3,1.0
64080,3,3,1.0
24330,3,3,1.0
1455,3,3,1.0
23055,3,3,1.0
47288,3,3,1.0
11822,3,3,1.0
18247,3,3,1.0
7740,3,3,1.0
15480,3,3,1.0
50055,3,3,1.0
46200,3,3,1.0
11550,3,3,1.0
19335,3,3,1.0
46140,3,3,1.0
11535,3,3,1.0
19395,3,3,1.0
64560,3,3,1.0
16140,3,3,1.0
975,3,3,1.0
15375,3,3,1.0
3960,3,3,1.0
34680,3,3,1.0
7920,3,3,1.0
57630,3,3,1.0
57615,3,3,1.0
38640,3,3,1.0
3990,3,3,1.0
26895,3,3,1.0
34800,3,3,1.0
3975,3,3,1.0
30855,3,3,1.0
30735,3,3,1.0
43760,3,3,1.0
4010,3,3,1.0
21775,3,3,1.0
20655,3,3,1.0
52464,3,3,1.0
4044,3,3,1.0
13071,3,3,1.0
12495,3,3,1.0
57825,3,3,1.0
61605,3,3,1.0
61635,3,3,1.0
32640,3,3,1.0
5610,3,3,1.0
32895,3,3,1.0
22440,3,3,1.0
510,3,3,1.0
43095,3,3,1.0
55080,3,3,1.0
16830,3,3,1.0
10455,3,3,1.0
54570,3,3,1.0
16575,3,3,1.0
10965,3,3,1.0
56712,3,3,1.0
17646,3,3,1.0
8823,3,3,1.0
62880,3,3,1.0
20730,3,3,1.0
2655,3,3,1.0
5100,3,3,1.0
14280,3,3,1.0
51255,3,3,1.0
46920,3,3,1.0
8670,3,3,1.0
18615,3,3,1.0
45900,3,3,1.0
8415,3,3,1.0
19635,3,3,1.0
48008,3,3,1.0
8942,3,3,1.0
17527,3,3,1.0
62400,3,3,1.0
12540,3,3,1.0
3135,3,3,1.0
2040,3,3,1.0
8160,3,3,1.0
57375,3,3,1.0
40800,3,3,1.0
2550,3,3,1.0
24735,3,3,1.0
36720,3,3,1.0
2295,3,3,1.0
28815,3,3,1.0
44960,3,3,1.0
2810,3,3,1.0
20575,3,3,1.0
53184,3,3,1.0
3324,3,3,1.0
12351,3,3,1.0
60945,3,3,1.0
64005,3,3,1.0
64515,3,3,1.0
36237,3,3,1.0
35037,3,3,1.0
35723,3,3,1.0
35003,3,3,1.0
45489,3,3,1.0
41205,3,3,1.0
41891,3,3,1.0
41135,3,3,1.0
47889,3,3,1.0
44805,3,3,1.0
43571,3,3,1.0
43535,3,3,1.0
53713,3,3,1.0
50629,3,3,1.0
49395,3,3,1.0
49359,3,3,1.0
56593,3,3,1.0
52309,3,3,1.0
52995,3,3,1.0
52239,3,3,1.0
62725,3,3,1.0
61525,3,3,1.0
62211,3,3,1.0
61491,3,3,1.0
40140,4,3,0.0
52422,4,3,0.0
39324,4,3,0.0
13113,4,3,0.0
27846,4,3,0.0
51612,4,3,0.0
12002,4,3,0.0
18292,4,3,0.0
53533,4,3,0.0
37689,4,3,0.0
51609,4,3,0.0
39594,4,3,0.0
43686,4,3,0.0
39322,4,3,0.0
21849,4,3,0.0
27302,4,3,0.0
43418,4,3,0.0
38233,4,3,0.0
43417,4,3,0.0
40086,4,3,0.0
57962,4,3,0.0
29782,4,3,0.0
15510,4,3,0.0
7573,4,3,0.0
38598,4,3,0.0
42722,4,3,0.0
25972,4,3,0.0
26940,4,3,0.0
22813,4,3,0.0
26937,4,3,0.0
59946,4,3,0.0
30278,4,3,0.0
14022,4,3,0.0
5589,4,3,0.0
28258,4,3,0.0
22356,4,3,0.0
37788,4,3,0.0
37277,4,3,0.0
9958,4,3,0.0
17781,4,3,0.0
51513,4,3,0.0
55577,4,3,0.0
13974,4,3,0.0
37785,4,3,0.0
11942,4,3,0.0
18277,4,3,0.0
50025,4,3,0.0
53593,4,3,0.0
51561,4,3,0.0
39574,4,3,0.0
23190,4,3,0.0
38566,4,3,0.0
26970,4,3,0.0
26969,4,3,0.0
43626,4,3,0.0
22182,4,3,0.0
27238,4,3,0.0
38298,4,3,0.0
38297,4,3,0.0
26278,4,3,0.0
43353,4,3,0.0
39257,4,3,0.0
22166,4,3,0.0
42345,4,3,0.0
43369,4,3,0.0
26198,4,3,0.0
26262,4,3,0.0
42666,4,3,0.0
25958,4,3,0.0
26982,4,3,0.0
21861,4,3,0.0
39273,4,3,0.0
22101,4,3,0.0
38553,4,3,0.0
22117,4,3,0.0
38505,4,3,0.0
39366,4,3,0.0
58922,4,3,0.0
30022,4,3,0.0
14790,4,3,0.0
6613,4,3,0.0
40038,4,3,0.0
44642,4,3,0.0
26452,4,3,0.0
25500,4,3,0.0
20893,4,3,0.0
25497,4,3,0.0
58026,4,3,0.0
29798,4,3,0.0
15462,4,3,0.0
7509,4,3,0.0
26338,4,3,0.0
21876,4,3,0.0
39228,4,3,0.0
39197,4,3,0.0
11878,4,3,0.0
18261,4,3,0.0
50073,4,3,0.0
53657,4,3,0.0
14694,4,3,0.0
39225,4,3,0.0
10982,4,3,0.0
18037,4,3,0.0
50745,4,3,0.0
54553,4,3,0.0
50841,4,3,0.0
39334,4,3,0.0
22950,4,3,0.0
39526,4,3,0.0
26010,4,3,0.0
26009,4,3,0.0
23142,4,3,0.0
39258,4,3,0.0
42393,4,3,0.0
22886,4,3,0.0
42585,4,3,0.0
42649,4,3,0.0
26213,4,3,0.0
26217,4,3,0.0
46320,4,3,0.0
61650,4,3,0.0
42420,4,3,0.0
3885,4,3,0.0
30930,4,3,0.0
57780,4,3,0.0
15050,4,3,0.0
21340,4,3,0.0
50485,4,3,0.0
34605,4,3,0.0
57765,4,3,0.0
46230,4,3,0.0
51818,4,3,0.0
23638,4,3,0.0
13717,4,3,0.0
38610,4,3,0.0
39626,4,3,0.0
22876,4,3,0.0
25909,4,3,0.0
26925,4,3,0.0
24146,4,3,0.0
7890,4,3,0.0
31306,4,3,0.0
34740,4,3,0.0
34229,4,3,0.0
6874,4,3,0.0
20829,4,3,0.0
57645,4,3,0.0
58661,4,3,0.0
7830,4,3,0.0
34725,4,3,0.0
15002,4,3,0.0
21337,4,3,0.0
50533,4,3,0.0
57705,4,3,0.0
23126,4,3,0.0
22874,4,3,0.0
23194,4,3,0.0
42341,4,3,0.0
42646,4,3,0.0
38554,4,3,0.0
42406,4,3,0.0
26981,4,3,0.0
22170,4,3,0.0
27226,4,3,0.0
38310,4,3,0.0
38309,4,3,0.0
27290,4,3,0.0
38245,4,3,0.0
43365,4,3,0.0
38565,4,3,0.0
22105,4,3,0.0
43674,4,3,0.0
43430,4,3,0.0
43429,4,3,0.0
42450,4,3,0.0
55850,4,3,0.0
23890,4,3,0.0
11730,4,3,0.0
9685,4,3,0.0
46170,4,3,0.0
47690,4,3,0.0
23380,4,3,0.0
19380,4,3,0.0
17845,4,3,0.0
19365,4,3,0.0
51882,4,3,0.0
23642,4,3,0.0
15450,4,3,0.0
13653,4,3,0.0
23242,4,3,0.0
21852,4,3,0.0
42300,4,3,0.0
42293,4,3,0.0
14938,4,3,0.0
21333,4,3,0.0
50085,4,3,0.0
50597,4,3,0.0
11610,4,3,0.0
42285,4,3,0.0
10970,4,3,0.0
21085,4,3,0.0
53805,4,3,0.0
54565,4,3,0.0
53925,4,3,0.0
42394,4,3,0.0
42586,4,3,0.0
22949,4,3,0.0
26202,4,3,0.0
42342,4,3,0.0
39333,4,3,0.0
25946,4,3,0.0
39525,4,3,0.0
39589,4,3,0.0
23129,4,3,0.0
23145,4,3,0.0
48960,4,3,0.0
64770,4,3,0.0
43860,4,3,0.0
765,4,3,0.0
32130,4,3,0.0
60180,4,3,0.0
15530,4,3,0.0
21820,4,3,0.0
50005,4,3,0.0
33405,4,3,0.0
59925,4,3,0.0
47430,4,3,0.0
50858,4,3,0.0
21958,4,3,0.0
14677,4,3,0.0
40290,4,3,0.0
40106,4,3,0.0
21916,4,3,0.0
25429,4,3,0.0
25245,4,3,0.0
21986,4,3,0.0
7650,4,3,0.0
29866,4,3,0.0
35700,4,3,0.0
35669,4,3,0.0
7594,4,3,0.0
21789,4,3,0.0
57885,4,3,0.0
57941,4,3,0.0
6630,4,3,0.0
35445,4,3,0.0
14762,4,3,0.0
21817,4,3,0.0
50773,4,3,0.0
58905,4,3,0.0
21926,4,3,0.0
21914,4,3,0.0
22954,4,3,0.0
42581,4,3,0.0
26026,4,3,0.0
39509,4,3,0.0
27050,4,3,0.0
21865,4,3,0.0
38485,4,3,0.0
43366,4,3,0.0
39274,4,3,0.0
43606,4,3,0.0
26261,4,3,0.0
22890,4,3,0.0
39510,4,3,0.0
42645,4,3,0.0
44370,4,3,0.0
53930,4,3,0.0
21970,4,3,0.0
11605,4,3,0.0
46410,4,3,0.0
46250,4,3,0.0
21940,4,3,0.0
19285,4,3,0.0
19125,4,3,0.0
21962,4,3,0.0
13770,4,3,0.0
23722,4,3,0.0
41820,4,3,0.0
41813,4,3,0.0
13738,4,3,0.0
21813,4,3,0.0
51765,4,3,0.0
51797,4,3,0.0
9690,4,3,0.0
41565,4,3,0.0
11690,4,3,0.0
21805,4,3,0.0
53845,4,3,0.0
55845,4,3,0.0
43354,4,3,0.0
42346,4,3,0.0
23189,4,3,0.0
25962,4,3,0.0
42582,4,3,0.0
39573,4,3,0.0
43434,4,3,0.0
43670,4,3,0.0
43669,4,3,0.0
21929,4,3,0.0
22185,4,3,0.0
43689,4,3,0.0
39593,4,3,0.0
42665,4,3,0.0
43625,4,3,0.0
23756,4,3,0.0
52426,4,3,0.0
13109,4,3,0.0
59624,4,3,0.0
54484,4,3,0.0
5911,4,3,0.0
29936,4,3,0.0
61666,4,3,0.0
3869,4,3,0.0
61064,4,3,0.0
56644,4,3,0.0
4471,4,3,0.0
64160,4,3,0.0
62800,4,3,0.0
1375,4,3,0.0
32576,4,3,0.0
65026,4,3,0.0
509,4,3,0.0
36494,4,3,0.0
29041,4,3,0.0
45746,4,3,0.0
19789,4,3,0.0
48770,4,3,0.0
55060,4,3,0.0
16765,4,3,0.0
49024,4,3,0.0
54549,4,3,0.0
16511,4,3,0.0
27225,4,3,0.0
27237,4,3,0.0
35054,4,3,0.0
30481,4,3,0.0
47330,4,3,0.0
53620,4,3,0.0
18205,4,3,0.0
47906,4,3,0.0
17629,4,3,0.0
39590,4,3,0.0
38230,4,3,0.0
25945,4,3,0.0
26201,4,3,0.0
47344,4,3,0.0
53589,4,3,0.0
18191,4,3,0.0
26025,4,3,0.0
25961,4,3,0.0
26277,4,3,0.0
44234,4,3,0.0
50524,4,3,0.0
21301,4,3,0.0
41210,4,3,0.0
24325,4,3,0.0
44810,4,3,0.0
20725,4,3,0.0
42650,4,3,0.0
22885,4,3,0.0
23141,4,3,0.0
43370,4,3,0.0
22165,4,3,0.0
22181,4,3,0.0
44236,4,3,0.0
50517,4,3,0.0
21299,4,3,0.0
22953,4,3,0.0
22889,4,3,0.0
23193,4,3,0.0
22169,4,3,0.0
20196,4,3,0.0
10098,4,3,0.0
45339,4,3,0.0
52332,4,3,0.0
27750,4,3,0.0
26310,4,3,0.0
58476,4,3,0.0
29238,4,3,0.0
7059,4,3,0.0
50916,4,3,0.0
25458,4,3,0.0
14619,4,3,0.0
60492,4,3,0.0
30246,4,3,0.0
5043,4,3,0.0
28260,4,3,0.0
14130,4,3,0.0
37275,4,3,0.0
18150,4,3,0.0
9075,4,3,0.0
47385,4,3,0.0
20166,4,3,0.0
10083,4,3,0.0
45369,4,3,0.0
26166,4,3,0.0
50892,4,3,0.0
25446,4,3,0.0
13155,4,3,0.0
13875,4,3,0.0
13923,4,3,0.0
58956,4,3,0.0
29478,4,3,0.0
6579,4,3,0.0
52836,4,3,0.0
26418,4,3,0.0
12699,4,3,0.0
58572,4,3,0.0
29286,4,3,0.0
6963,4,3,0.0
26340,4,3,0.0
13170,4,3,0.0
39195,4,3,0.0
20070,4,3,0.0
10035,4,3,0.0
45465,4,3,0.0
19686,4,3,0.0
9843,4,3,0.0
45849,4,3,0.0
26211,4,3,0.0
15414,4,3,0.0
14652,4,3,0.0
15516,4,3,0.0
50019,4,3,0.0
53910,4,3,0.0
44140,4,3,0.0
14902,4,3,0.0
21395,4,3,0.0
38580,4,3,0.0
50130,4,3,0.0
40108,4,3,0.0
14650,4,3,0.0
25427,4,3,0.0
26955,4,3,0.0
15924,4,3,0.0
7860,4,3,0.0
31788,4,3,0.0
34770,4,3,0.0
33747,4,3,0.0
23724,4,3,0.0
13626,4,3,0.0
41811,4,3,0.0
7356,4,3,0.0
12603,4,3,0.0
57675,4,3,0.0
58179,4,3,0.0
34755,4,3,0.0
23708,4,3,0.0
13625,4,3,0.0
41827,4,3,0.0
50838,4,3,0.0
38556,4,3,0.0
50118,4,3,0.0
26979,4,3,0.0
13980,4,3,0.0
27708,4,3,0.0
37830,4,3,0.0
37827,4,3,0.0
27804,4,3,0.0
37731,4,3,0.0
51555,4,3,0.0
38595,4,3,0.0
13881,4,3,0.0
54000,4,3,0.0
61620,4,3,0.0
3915,4,3,0.0
30900,4,3,0.0
57810,4,3,0.0
34635,4,3,0.0
57795,4,3,0.0
52380,4,3,0.0
51654,4,3,0.0
51651,4,3,0.0
50100,4,3,0.0
48204,4,3,0.0
15156,4,3,0.0
17331,4,3,0.0
53820,4,3,0.0
56364,4,3,0.0
15666,4,3,0.0
9171,4,3,0.0
11715,4,3,0.0
14908,4,3,0.0
23100,4,3,0.0
15532,4,3,0.0
13114,4,3,0.0
50010,4,3,0.0
50003,4,3,0.0
23612,4,3,0.0
13619,4,3,0.0
42435,4,3,0.0
41923,4,3,0.0
19260,4,3,0.0
49995,4,3,0.0
19644,4,3,0.0
13371,4,3,0.0
46155,4,3,0.0
45891,4,3,0.0
46275,4,3,0.0
50076,4,3,0.0
50748,4,3,0.0
14787,4,3,0.0
26172,4,3,0.0
50022,4,3,0.0
39363,4,3,0.0
25404,4,3,0.0
40035,4,3,0.0
40131,4,3,0.0
15417,4,3,0.0
15465,4,3,0.0
13254,4,3,0.0
13212,4,3,0.0
14796,4,3,0.0
50739,4,3,0.0
55590,4,3,0.0
42700,4,3,0.0
13222,4,3,0.0
22835,4,3,0.0
39780,4,3,0.0
52530,4,3,0.0
39628,4,3,0.0
13210,4,3,0.0
25907,4,3,0.0
25755,4,3,0.0
13284,4,3,0.0
7140,4,3,0.0
29388,4,3,0.0
36210,4,3,0.0
36147,4,3,0.0
23244,4,3,0.0
13146,4,3,0.0
42291,4,3,0.0
7116,4,3,0.0
13083,4,3,0.0
58395,4,3,0.0
58419,4,3,0.0
35955,4,3,0.0
22988,4,3,0.0
13145,4,3,0.0
42547,4,3,0.0
25548,4,3,0.0
39987,4,3,0.0
27084,4,3,0.0
13161,4,3,0.0
38451,4,3,0.0
51558,4,3,0.0
39276,4,3,0.0
52278,4,3,0.0
26259,4,3,0.0
14700,4,3,0.0
39990,4,3,0.0
50835,4,3,0.0
57120,4,3,0.0
64260,4,3,0.0
1275,4,3,0.0
31620,4,3,0.0
60690,4,3,0.0
33915,4,3,0.0
60435,4,3,0.0
52020,4,3,0.0
46284,4,3,0.0
13236,4,3,0.0
19251,4,3,0.0
54060,4,3,0.0
53964,4,3,0.0
13266,4,3,0.0
11571,4,3,0.0
11475,4,3,0.0
13228,4,3,0.0
21420,4,3,0.0
15052,4,3,0.0
50490,4,3,0.0
50483,4,3,0.0
21452,4,3,0.0
13139,4,3,0.0
44115,4,3,0.0
44083,4,3,0.0
17340,4,3,0.0
50235,4,3,0.0
19404,4,3,0.0
13131,4,3,0.0
46131,4,3,0.0
48195,4,3,0.0
51516,4,3,0.0
50028,4,3,0.0
15507,4,3,0.0
25452,4,3,0.0
50742,4,3,0.0
40083,4,3,0.0
51660,4,3,0.0
52374,4,3,0.0
52371,4,3,0.0
13257,4,3,0.0
14025,4,3,0.0
52425,4,3,0.0
40137,4,3,0.0
50889,4,3,0.0
52329,4,3,0.0
15018,4,3,0.0
43692,4,3,0.0
21843,4,3,0.0
27705,4,3,0.0
27747,4,3,0.0
40134,4,3,0.0
37686,4,3,0.0
25401,4,3,0.0
26169,4,3,0.0
25545,4,3,0.0
25449,4,3,0.0
26307,4,3,0.0
11051,4,3,0.0
29424,4,3,0.0
61668,4,3,0.0
3867,4,3,0.0
55524,4,3,0.0
45426,4,3,0.0
10011,4,3,0.0
55536,4,3,0.0
45363,4,3,0.0
9999,4,3,0.0
32544,4,3,0.0
65028,4,3,0.0
507,4,3,0.0
56964,4,3,0.0
46866,4,3,0.0
8571,4,3,0.0
57216,4,3,0.0
45843,4,3,0.0
8319,4,3,0.0
8891,4,3,0.0
64704,4,3,0.0
62256,4,3,0.0
831,4,3,0.0
51884,4,3,0.0
41786,4,3,0.0
13651,4,3,0.0
50844,4,3,0.0
14691,4,3,0.0
15459,4,3,0.0
51564,4,3,0.0
13971,4,3,0.0
14019,4,3,0.0
49404,4,3,0.0
16131,4,3,0.0
53004,4,3,0.0
12531,4,3,0.0
41779,4,3,0.0
14793,4,3,0.0
14697,4,3,0.0
15513,4,3,0.0
13977,4,3,0.0
61560,4,3,0.0
30810,4,3,0.0
23250,4,3,0.0
23070,4,3,0.0
19290,4,3,0.0
55416,4,3,0.0
19998,4,3,0.0
10119,4,3,0.0
53976,4,3,0.0
19278,4,3,0.0
11559,4,3,0.0
63600,4,3,0.0
24090,4,3,0.0
1935,4,3,0.0
31320,4,3,0.0
7950,4,3,0.0
34215,4,3,0.0
29400,4,3,0.0
6990,4,3,0.0
36135,4,3,0.0
21210,4,3,0.0
2895,4,3,0.0
44325,4,3,0.0
29394,4,3,0.0
6987,4,3,0.0
36141,4,3,0.0
7695,4,3,0.0
7755,4,3,0.0
55920,4,3,0.0
20250,4,3,0.0
9615,4,3,0.0
62040,4,3,0.0
23310,4,3,0.0
3495,4,3,0.0
20058,4,3,0.0
23256,4,3,0.0
3918,4,3,0.0
42279,4,3,0.0
29274,4,3,0.0
6927,4,3,0.0
36261,4,3,0.0
28890,4,3,0.0
6735,4,3,0.0
36645,4,3,0.0
23115,4,3,0.0
15390,4,3,0.0
11580,4,3,0.0
15540,4,3,0.0
30780,4,3,0.0
47224,4,3,0.0
11806,4,3,0.0
18311,4,3,0.0
46264,4,3,0.0
11566,4,3,0.0
19271,4,3,0.0
15900,4,3,0.0
31800,4,3,0.0
33735,4,3,0.0
29880,4,3,0.0
7470,4,3,0.0
35655,4,3,0.0
13500,4,3,0.0
3375,4,3,0.0
52035,4,3,0.0
29876,4,3,0.0
7469,4,3,0.0
35659,4,3,0.0
7725,4,3,0.0
48240,4,3,0.0
12060,4,3,0.0
17295,4,3,0.0
62520,4,3,0.0
15630,4,3,0.0
3015,4,3,0.0
11836,4,3,0.0
15544,4,3,0.0
3886,4,3,0.0
49991,4,3,0.0
29756,4,3,0.0
7439,4,3,0.0
35779,4,3,0.0
28860,4,3,0.0
7215,4,3,0.0
36675,4,3,0.0
15405,4,3,0.0
4050,4,3,0.0
4020,4,3,0.0
11760,4,3,0.0
53775,4,3,0.0
19440,4,3,0.0
46095,4,3,0.0
27120,4,3,0.0
3945,4,3,0.0
38415,4,3,0.0
58650,4,3,0.0
39664,4,3,0.0
3994,4,3,0.0
25871,4,3,0.0
42840,4,3,0.0
61710,4,3,0.0
42736,4,3,0.0
4006,4,3,0.0
22799,4,3,0.0
22695,4,3,0.0
4056,4,3,0.0
10200,4,3,0.0
20208,4,3,0.0
45390,4,3,0.0
45327,4,3,0.0
26352,4,3,0.0
3942,4,3,0.0
39183,4,3,0.0
10224,4,3,0.0
3879,4,3,0.0
55335,4,3,0.0
55311,4,3,0.0
45135,4,3,0.0
26096,4,3,0.0
3941,4,3,0.0
39439,4,3,0.0
57690,4,3,0.0
42360,4,3,0.0
61470,4,3,0.0
23175,4,3,0.0
11640,4,3,0.0
46110,4,3,0.0
53895,4,3,0.0
58140,4,3,0.0
40176,4,3,0.0
3996,4,3,0.0
25359,4,3,0.0
51000,4,3,0.0
50928,4,3,0.0
4038,4,3,0.0
14607,4,3,0.0
14535,4,3,0.0
4024,4,3,0.0
18360,4,3,0.0
12016,4,3,0.0
53550,4,3,0.0
53519,4,3,0.0
18416,4,3,0.0
3911,4,3,0.0
47175,4,3,0.0
47119,4,3,0.0
53295,4,3,0.0
25584,4,3,0.0
3939,4,3,0.0
39951,4,3,0.0
57660,4,3,0.0
50040,4,3,0.0
15495,4,3,0.0
19320,4,3,0.0
53790,4,3,0.0
46215,4,3,0.0
63240,4,3,0.0
61200,4,3,0.0
4335,4,3,0.0
28560,4,3,0.0
63750,4,3,0.0
36975,4,3,0.0
63495,4,3,0.0
57840,4,3,0.0
61590,4,3,0.0
61575,4,3,0.0
4065,4,3,0.0
7905,4,3,0.0
61665,4,3,0.0
46305,4,3,0.0
53985,4,3,0.0
61545,4,3,0.0
30765,4,3,0.0
30795,4,3,0.0
11946,4,3,0.0
43704,4,3,0.0
21831,4,3,0.0
46290,4,3,0.0
34590,4,3,0.0
19245,4,3,0.0
23085,4,3,0.0
19425,4,3,0.0
19305,4,3,0.0
23235,4,3,0.0
20172,4,3,0.0
52440,4,3,0.0
13095,4,3,0.0
58584,4,3,0.0
36174,4,3,0.0
6951,4,3,0.0
36111,4,3,0.0
53940,4,3,0.0
11595,4,3,0.0
15435,4,3,0.0
58040,4,3,0.0
35630,4,3,0.0
7495,4,3,0.0
57720,4,3,0.0
7815,4,3,0.0
7875,4,3,0.0
11745,4,3,0.0
11625,4,3,0.0
35599,4,3,0.0
15525,4,3,0.0
7845,4,3,0.0
32520,4,3,0.0
65040,4,3,0.0
495,4,3,0.0
63120,4,3,0.0
40710,4,3,0.0
2415,4,3,0.0
63360,4,3,0.0
36615,4,3,0.0
2175,4,3,0.0
2735,4,3,0.0
3279,4,3,0.0
30090,4,3,0.0
23970,4,3,0.0
20910,4,3,0.0
17850,4,3,0.0
5355,4,3,0.0
55176,4,3,0.0
16878,4,3,0.0
10359,4,3,0.0
56616,4,3,0.0
17598,4,3,0.0
8919,4,3,0.0
20970,4,3,0.0
30120,4,3,0.0
4350,4,3,0.0
35415,4,3,0.0
32040,4,3,0.0
5310,4,3,0.0
33495,4,3,0.0
23850,4,3,0.0
1215,4,3,0.0
41685,4,3,0.0
32034,4,3,0.0
5307,4,3,0.0
33501,4,3,0.0
55200,4,3,0.0
16890,4,3,0.0
10335,4,3,0.0
62760,4,3,0.0
20670,4,3,0.0
2775,4,3,0.0
17898,4,3,0.0
23976,4,3,0.0
1278,4,3,0.0
41559,4,3,0.0
29994,4,3,0.0
4287,4,3,0.0
35541,4,3,0.0
32010,4,3,0.0
5295,4,3,0.0
