benchmark,samples,method,repeat,milliseconds,objects,seed
relation_filter,,dense_boolean_gate,4,0.0224,64.0,1.0
relation_filter,,dense_boolean_gate,5,0.0218,64.0,1.0
relation_filter,,dense_boolean_gate,6,0.0228,64.0,1.0
relation_filter,,dense_boolean_gate,7,0.0226,64.0,1.0
relation_filter,,dense_boolean_gate,8,0.0227,64.0,1.0
relation_filter,,dense_boolean_gate,9,0.0225,64.0,1.0
relation_filter,,indexed_gate_filter,0,0.0849,64.0,1.0
relation_filter,,indexed_gate_filter,1,0.0931,64.0,1.0
relation_filter,,indexed_gate_filter,2,0.0895,64.0,1.0
relation_filter,,indexed_gate_filter,3,0.0903,64.0,1.0
relation_filter,,indexed_gate_filter,4,0.0843,64.0,1.0
relation_filter,,indexed_gate_filter,5,0.0851,64.0,1.0
relation_filter,,indexed_gate_filter,6,0.0839,64.0,1.0
relation_filter,,indexed_gate_filter,7,0.0842,64.0,1.0
relation_filter,,indexed_gate_filter,8,0.0844,64.0,1.0
relation_filter,,indexed_gate_filter,9,0.0845,64.0,1.0
relation_filter,,dense_boolean_gate,0,0.0501,128.0,1.0
relation_filter,,dense_boolean_gate,1,0.0498,128.0,1.0
relation_filter,,dense_boolean_gate,2,0.0499,128.0,1.0
relation_filter,,dense_boolean_gate,3,0.0497,128.0,1.0
relation_filter,,dense_boolean_gate,4,0.0494,128.0,1.0
relation_filter,,dense_boolean_gate,5,0.0499,128.0,1.0
relation_filter,,dense_boolean_gate,6,0.0495,128.0,1.0
relation_filter,,dense_boolean_gate,7,0.0492,128.0,1.0
relation_filter,,dense_boolean_gate,8,0.0503,128.0,1.0
relation_filter,,dense_boolean_gate,9,0.0496,128.0,1.0
relation_filter,,indexed_gate_filter,0,0.1776,128.0,1.0
relation_filter,,indexed_gate_filter,1,0.1835,128.0,1.0
relation_filter,,indexed_gate_filter,2,0.1934,128.0,1.0
relation_filter,,indexed_gate_filter,3,0.177,128.0,1.0
relation_filter,,indexed_gate_filter,4,0.1784,128.0,1.0
relation_filter,,indexed_gate_filter,5,0.1828,128.0,1.0
relation_filter,,indexed_gate_filter,6,0.1831,128.0,1.0
relation_filter,,indexed_gate_filter,7,0.1891,128.0,1.0
relation_filter,,indexed_gate_filter,8,0.1803,128.0,1.0
relation_filter,,indexed_gate_filter,9,0.1765,128.0,1.0
relation_filter,,dense_boolean_gate,0,0.1664,256.0,1.0
relation_filter,,dense_boolean_gate,1,0.1771,256.0,1.0
relation_filter,,dense_boolean_gate,2,0.1753,256.0,1.0
relation_filter,,dense_boolean_gate,3,0.167,256.0,1.0
relation_filter,,dense_boolean_gate,4,0.1671,256.0,1.0
relation_filter,,dense_boolean_gate,5,0.1666,256.0,1.0
relation_filter,,dense_boolean_gate,6,0.1671,256.0,1.0
relation_filter,,dense_boolean_gate,7,0.1816,256.0,1.0
relation_filter,,dense_boolean_gate,8,0.1749,256.0,1.0
relation_filter,,dense_boolean_gate,9,0.1658,256.0,1.0
relation_filter,,indexed_gate_filter,0,0.4615,256.0,1.0
relation_filter,,indexed_gate_filter,1,0.3837,256.0,1.0
relation_filter,,indexed_gate_filter,2,0.3483,256.0,1.0
relation_filter,,indexed_gate_filter,3,0.3548,256.0,1.0
relation_filter,,indexed_gate_filter,4,0.3469,256.0,1.0
relation_filter,,indexed_gate_filter,5,0.3582,256.0,1.0
relation_filter,,indexed_gate_filter,6,0.3675,256.0,1.0
relation_filter,,indexed_gate_filter,7,0.3643,256.0,1.0
relation_filter,,indexed_gate_filter,8,0.3523,256.0,1.0
relation_filter,,indexed_gate_filter,9,0.3488,256.0,1.0
relation_filter,,dense_boolean_gate,0,0.9721,512.0,1.0
relation_filter,,dense_boolean_gate,1,1.0553,512.0,1.0
relation_filter,,dense_boolean_gate,2,1.0076,512.0,1.0
relation_filter,,dense_boolean_gate,3,1.0201,512.0,1.0
relation_filter,,dense_boolean_gate,4,1.0137,512.0,1.0
relation_filter,,dense_boolean_gate,5,1.0169,512.0,1.0
relation_filter,,dense_boolean_gate,6,1.0136,512.0,1.0
relation_filter,,dense_boolean_gate,7,1.2064,512.0,1.0
relation_filter,,dense_boolean_gate,8,1.0506,512.0,1.0
relation_filter,,dense_boolean_gate,9,1.2107,512.0,1.0
relation_filter,,indexed_gate_filter,0,0.749,512.0,1.0
relation_filter,,indexed_gate_filter,1,0.7451,512.0,1.0
relation_filter,,indexed_gate_filter,2,0.7422,512.0,1.0
relation_filter,,indexed_gate_filter,3,0.7305,512.0,1.0
relation_filter,,indexed_gate_filter,4,0.7278,512.0,1.0
relation_filter,,indexed_gate_filter,5,0.7236,512.0,1.0
relation_filter,,indexed_gate_filter,6,0.7248,512.0,1.0
relation_filter,,indexed_gate_filter,7,0.7252,512.0,1.0
relation_filter,,indexed_gate_filter,8,0.726,512.0,1.0
relation_filter,,indexed_gate_filter,9,0.7258,512.0,1.0
relation_filter,,dense_boolean_gate,0,5.5364,1024.0,1.0
relation_filter,,dense_boolean_gate,1,5.2388,1024.0,1.0
relation_filter,,dense_boolean_gate,2,6.1245,1024.0,1.0
relation_filter,,dense_boolean_gate,3,5.8959,1024.0,1.0
relation_filter,,dense_boolean_gate,4,5.0935,1024.0,1.0
relation_filter,,dense_boolean_gate,5,5.4105,1024.0,1.0
relation_filter,,dense_boolean_gate,6,5.1516,1024.0,1.0
relation_filter,,dense_boolean_gate,7,5.4305,1024.0,1.0
relation_filter,,dense_boolean_gate,8,6.5388,1024.0,1.0
relation_filter,,dense_boolean_gate,9,6.6504,1024.0,1.0
relation_filter,,indexed_gate_filter,0,1.4939,1024.0,1.0
relation_filter,,indexed_gate_filter,1,1.5106,1024.0,1.0
relation_filter,,indexed_gate_filter,2,1.5252,1024.0,1.0
relation_filter,,indexed_gate_filter,3,1.4972,1024.0,1.0
relation_filter,,indexed_gate_filter,4,1.4538,1024.0,1.0
relation_filter,,indexed_gate_filter,5,1.4392,1024.0,1.0
relation_filter,,indexed_gate_filter,6,1.4687,1024.0,1.0
relation_filter,,indexed_gate_filter,7,1.512,1024.0,1.0
relation_filter,,indexed_gate_filter,8,1.7313,1024.0,1.0
relation_filter,,indexed_gate_filter,9,1.6104,1024.0,1.0
relation_filter,,dense_boolean_gate,0,21.3553,2048.0,1.0
relation_filter,,dense_boolean_gate,1,19.0851,2048.0,1.0
relation_filter,,dense_boolean_gate,2,20.1735,2048.0,1.0
relation_filter,,dense_boolean_gate,3,20.125,2048.0,1.0
relation_filter,,dense_boolean_gate,4,20.3205,2048.0,1.0
relation_filter,,dense_boolean_gate,5,20.3114,2048.0,1.0
relation_filter,,dense_boolean_gate,6,20.0862,2048.0,1.0
relation_filter,,dense_boolean_gate,7,20.2256,2048.0,1.0
relation_filter,,dense_boolean_gate,8,20.3048,2048.0,1.0
relation_filter,,dense_boolean_gate,9,20.3558,2048.0,1.0
relation_filter,,indexed_gate_filter,0,3.1783,2048.0,1.0
relation_filter,,indexed_gate_filter,1,2.9021,2048.0,1.0
relation_filter,,indexed_gate_filter,2,2.9511,2048.0,1.0
relation_filter,,indexed_gate_filter,3,2.8984,2048.0,1.0
relation_filter,,indexed_gate_filter,4,2.9073,2048.0,1.0
relation_filter,,indexed_gate_filter,5,3.0757,2048.0,1.0
relation_filter,,indexed_gate_filter,6,2.9217,2048.0,1.0
relation_filter,,indexed_gate_filter,7,2.9909,2048.0,1.0
relation_filter,,indexed_gate_filter,8,2.9515,2048.0,1.0
relation_filter,,indexed_gate_filter,9,2.9588,2048.0,1.0
relation_filter,,dense_boolean_gate,0,0.0213,64.0,2.0
relation_filter,,dense_boolean_gate,1,0.0226,64.0,2.0
relation_filter,,dense_boolean_gate,2,0.0217,64.0,2.0
relation_filter,,dense_boolean_gate,3,0.0215,64.0,2.0
relation_filter,,dense_boolean_gate,4,0.0221,64.0,2.0
relation_filter,,dense_boolean_gate,5,0.0217,64.0,2.0
relation_filter,,dense_boolean_gate,6,0.021,64.0,2.0
relation_filter,,dense_boolean_gate,7,0.0215,64.0,2.0
relation_filter,,dense_boolean_gate,8,0.0213,64.0,2.0
relation_filter,,dense_boolean_gate,9,0.027,64.0,2.0
relation_filter,,indexed_gate_filter,0,0.0882,64.0,2.0
relation_filter,,indexed_gate_filter,1,0.0875,64.0,2.0
relation_filter,,indexed_gate_filter,2,0.0874,64.0,2.0
relation_filter,,indexed_gate_filter,3,0.0872,64.0,2.0
relation_filter,,indexed_gate_filter,4,0.087,64.0,2.0
relation_filter,,indexed_gate_filter,5,0.0889,64.0,2.0
relation_filter,,indexed_gate_filter,6,0.1287,64.0,2.0
relation_filter,,indexed_gate_filter,7,0.1653,64.0,2.0
relation_filter,,indexed_gate_filter,8,0.1043,64.0,2.0
relation_filter,,indexed_gate_filter,9,0.0872,64.0,2.0
relation_filter,,dense_boolean_gate,0,0.0477,128.0,2.0
relation_filter,,dense_boolean_gate,1,0.0472,128.0,2.0
relation_filter,,dense_boolean_gate,2,0.0474,128.0,2.0
relation_filter,,dense_boolean_gate,3,0.0473,128.0,2.0
relation_filter,,dense_boolean_gate,4,0.0474,128.0,2.0
relation_filter,,dense_boolean_gate,5,0.0474,128.0,2.0
relation_filter,,dense_boolean_gate,6,0.0471,128.0,2.0
relation_filter,,dense_boolean_gate,7,0.047,128.0,2.0
relation_filter,,dense_boolean_gate,8,0.0484,128.0,2.0
relation_filter,,dense_boolean_gate,9,0.0472,128.0,2.0
relation_filter,,indexed_gate_filter,0,0.1728,128.0,2.0
relation_filter,,indexed_gate_filter,1,0.1757,128.0,2.0
relation_filter,,indexed_gate_filter,2,0.1724,128.0,2.0
relation_filter,,indexed_gate_filter,3,0.1717,128.0,2.0
relation_filter,,indexed_gate_filter,4,0.1767,128.0,2.0
relation_filter,,indexed_gate_filter,5,0.1729,128.0,2.0
relation_filter,,indexed_gate_filter,6,0.1714,128.0,2.0
relation_filter,,indexed_gate_filter,7,0.1723,128.0,2.0
relation_filter,,indexed_gate_filter,8,0.1722,128.0,2.0
relation_filter,,indexed_gate_filter,9,0.1728,128.0,2.0
relation_filter,,dense_boolean_gate,0,0.1648,256.0,2.0
relation_filter,,dense_boolean_gate,1,0.1648,256.0,2.0
relation_filter,,dense_boolean_gate,2,0.1631,256.0,2.0
relation_filter,,dense_boolean_gate,3,0.1633,256.0,2.0
relation_filter,,dense_boolean_gate,4,0.1669,256.0,2.0
relation_filter,,dense_boolean_gate,5,0.1646,256.0,2.0
relation_filter,,dense_boolean_gate,6,0.163,256.0,2.0
