family,train_fraction,seed,method,train_accuracy,iid_accuracy,ood_accuracy,ood_balanced_accuracy,ood_tpr,ood_tnr,ood_f1,ood_mcc,full_accuracy,full_balanced_accuracy,fit_seconds,gate_count,depth,expression
compositional,0.25,2,TruthMemorizer,1.0,0.5730337078651685,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.6484375,0.6186440677966102,0.0,,,
compositional,0.25,2,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,3,GateBeam,0.9833333333333333,0.8820224719101124,1.0,1.0,1.0,1.0,1.0,1.0,0.9140625,0.9166052566936871,0.7649715999141335,12.0,4.0,((((x6 NAND x7) AND (x1 OR x7)) OR ((x6 NAND x7) AND (x4 XOR x5))) AND ((x6 NAND x7) AND (x0 OR (x4 XOR x5))))
compositional,0.25,3,MLP,1.0,0.8202247191011236,0.6666666666666666,0.6964285714285714,0.75,0.6428571428571429,0.5,0.3286878675669582,0.8515625,0.846352247605011,0.20557180000469089,,,
compositional,0.25,3,TruthMemorizer,1.0,0.5337078651685393,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.62109375,0.5889830508474576,0.0,,,
compositional,0.25,3,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,4,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7555837000254542,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))))
compositional,0.25,4,MLP,1.0,0.8146067415730337,0.5555555555555556,0.625,0.75,0.5,0.42857142857142855,0.2091650066335189,0.83984375,0.8391672807663965,0.18126469990238547,,,
compositional,0.25,4,TruthMemorizer,1.0,0.5786516853932584,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.65234375,0.6228813559322034,0.0,,,
compositional,0.25,4,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,5,GateBeam,1.0,0.8932584269662921,0.5555555555555556,0.7142857142857143,1.0,0.42857142857142855,0.5,0.3779644730092272,0.89453125,0.8874355195283714,0.8012999000493437,12.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x7 NAND (x0 NAND x5)) AND ((x4 XOR x5) OR (x0 XOR ~x1))))
compositional,0.25,5,MLP,1.0,0.7471910112359551,0.6111111111111112,0.6607142857142857,0.75,0.5714285714285714,0.46153846153846156,0.2672612419124244,0.796875,0.7864161139769099,0.19446739996783435,,,
compositional,0.25,5,TruthMemorizer,1.0,0.5337078651685393,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.62109375,0.5889830508474576,0.0,,,
compositional,0.25,5,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,6,GateBeam,1.0,0.8707865168539326,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.8888888888888888,0.8618916073713346,0.90625,0.9056742815033161,0.7326214001514018,12.0,4.0,((((x2 OR ~x7) AND (x1 OR x3)) OR (~x6 AND (x4 XOR x5))) AND ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 OR x3))))
compositional,0.25,6,MLP,1.0,0.8033707865168539,0.5,0.6785714285714286,1.0,0.35714285714285715,0.47058823529411764,0.33149677206589795,0.828125,0.8215426185212479,0.1905529999639839,,,
compositional,0.25,6,TruthMemorizer,1.0,0.5337078651685393,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.62109375,0.5889830508474576,0.0,,,
compositional,0.25,6,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,7,GateBeam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7569821998476982,11.0,4.0,(((x6 NAND x7) AND ((x4 XOR x5) OR (x2 AND x3))) OR ((x6 NAND x7) AND ((x4 XOR x5) OR (x0 AND x1))))
compositional,0.25,7,MLP,1.0,0.8426966292134831,0.6666666666666666,0.6964285714285714,0.75,0.6428571428571429,0.5,0.3286878675669582,0.8671875,0.8676000982559569,0.17074249987490475,,,
compositional,0.25,7,TruthMemorizer,1.0,0.5674157303370787,0.2222222222222222,0.5,1.0,0.0,0.36363636363636365,0.0,0.64453125,0.614406779661017,0.0,,,
compositional,0.25,7,OracleRule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,known target rule (not learned)
compositional,0.25,8,GateBeam,1.0,0.8595505617977528,0.7222222222222222,0.8214285714285714,1.0,0.6428571428571429,0.6153846153846154,0.5345224838248488,0.8828125,0.8802505526897568,0.4591582000721246,5.0,3.0,((x6 NAND x7) AND ((x4 XOR x5) OR (x2 XOR ~x3)))
compositional,0.25,8,MLP,1.0,0.7528089887640449,0.5555555555555556,0.7142857142857143,1.0,0.42857142857142855,0.5,0.3779644730092272,0.796875,0.7937853107344632,0.19507170002907515,,,
