run,suite,cohort,source_commit,task_id,variant,seed,status,deployment_eligible,strict_hard_task_exact,selected_by_demo,hard_demo_task_exact,hard_demo_cell_accuracy,hard_task_exact,hard_cell_accuracy,soft_task_exact,hardening_task_drop,selected_horizon,state_bits_per_cell,parameter_count,parameter_storage_bits,hard_fixed_width_circuit_bits,active_non_passthrough_gates,hard_gates_per_cell_step,test_dynamic_gate_evaluations,dense_macs_per_cell_step,test_dense_macs,test_state_bit_updates,hard_export_equivalent,elapsed_seconds
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,cc9053aa,dl1,1,trained,0.0,0.0,1.0,0.0,0.7439613526570048,0.0,0.7407407407407407,0.0,0.0,1,4,2624,83968,2704,19,164,13284,,,324,1.0,6.133568661985919
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,cc9053aa,dl1_wide,0,trained,0.0,0.0,1.0,0.0,0.7729468599033816,0.0,0.7654320987654321,0.0,0.0,1,4,7744,247808,8376,43,484,39204,,,324,1.0,7.487080013961531
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,d4_bgpad_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,dl1,1,trained,0.0,0.0,1.0,0.0,0.8611111111111112,1.0,1.0,1.0,0.0,1,4,2624,83968,2704,25,164,1476,,,36,1.0,6.10937953798566
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,dl1_wide,1,trained,0.0,0.0,1.0,0.0,0.9166666666666666,1.0,1.0,1.0,0.0,1,4,7744,247808,8376,59,484,4356,,,36,1.0,7.23363142600283
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,dlc1,2,trained,0.0,0.0,1.0,0.0,0.6944444444444444,0.0,0.3333333333333333,0.0,0.0,1,4,7744,247808,8888,54,484,4356,,,36,1.0,7.700783248990774
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,25d8a9c8,dlr,2,trained,0.0,0.0,1.0,0.0,0.5833333333333334,0.0,0.3333333333333333,0.0,0.0,1,12,4160,133120,4472,61,260,2340,,,108,1.0,15.346053724992089
diffarc_formal_dev_core_4f54aa4,arc,dev_low_mdl,4f54aa45d1e6328d96352028375718b7506d926a,32e9702f,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.92,,,,,,,,,,,,,,,
