method,dataset,seed,redundancy_factor,train_estimator,eligible_for_method,selection_policy,candidate,checkpoint_source,val_hard_acc,val_hard_loss,val_soft_acc,val_soft_loss,val_full_gap,source_run,refit_error,refit_delta,op_change_ratio,unused_gate_ratio,gate_count,depth,fanout_max,score,selected
redundant_task_hardened,random_sparse10,0,4,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.8072916666666666,0.4927353064219157,0.6145833333333334,0.5698035558064779,0.19270833333333326,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.271875,320,3,26,0.4954540564219157,1
redundant_task_hardened,random_sparse10,0,8,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.859375,0.42426029841105145,0.921875,0.34851590792338055,0.0625,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.2125,640,3,52,0.42638529841105144,1
redundant_task_hardened,parity8,0,4,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_30,best_hard,0.5833333333333334,1.6621650060017903,0.4791666666666667,0.8643500804901123,0.10416666666666669,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.275,320,3,32,1.6649150060017903,1
redundant_task_hardened,parity8,0,8,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_13,best_hard,0.625,1.548241138458252,0.5208333333333334,0.7810599009195963,0.10416666666666663,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.2546875,640,3,64,1.550788013458252,1
redundant_task_hardened,majority9,0,4,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_0,best_hard,0.6770833333333334,0.7110889752705892,0.5625,0.6856389045715332,0.11458333333333337,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.246875,320,3,29,0.7135577252705892,1
redundant_task_hardened,majority9,0,8,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_9,best_hard,0.65625,1.521822452545166,0.4375,0.8795545895894369,0.21875,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.2265625,640,3,57,1.524088077545166,1
redundant_task_hardened,random_sparse10,0,4,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_11,best_hard,0.6041666666666666,1.0112983385721843,0.5572916666666666,0.694512128829956,0.046875,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.303125,320,3,26,1.0143295885721844,1
redundant_task_hardened,random_sparse10,0,8,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_14,best_hard,0.6197916666666666,1.4843514760335286,0.5572916666666666,0.6906820933024088,0.0625,redundant_hardening_bool_gumbel_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.2328125,640,3,52,1.4866796010335286,1
redundant_task_hardened,parity8,0,4,argmax_st,1,all_candidates_validation_hard_acc,gumbel_sample_29,best_hard,0.5833333333333334,1.7510840098063152,0.4791666666666667,0.9087387720743815,0.10416666666666669,redundant_hardening_bool_argmax_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.29375,320,3,32,1.7540215098063152,1
redundant_task_hardened,parity8,0,8,argmax_st,1,all_candidates_validation_hard_acc,gumbel_sample_2,best_hard,0.5833333333333334,1.4368127187093098,0.5208333333333334,0.8288984298706055,0.0625,redundant_hardening_bool_argmax_st_lr005_temp2to1_seed0_valid_v1,nan,nan,nan,0.2265625,640,3,64,1.4390783437093098,1
redundant_task_hardened,majority9,0,4,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.8541666666666666,0.32589054107666016,0.8125,0.672639528910319,0.04166666666666663,redundant_hardening_bool_argmax_st_lr005_temp2to1_seed0_valid_v1,nan,nan,0.0,0.203125,320,3,29,0.32792179107666014,1
redundant_task_hardened,majority9,0,8,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.90625,0.23331590493520102,0.4375,0.963349978129069,0.46875,redundant_hardening_bool_argmax_st_lr005_temp2to1_seed0_valid_v1,nan,nan,0.0,0.259375,640,3,57,0.23590965493520102,1
