task_id,primary_category,canvas_compatible,demo_count,query_count,program_count,programs_reaching_roles_on_all_demos,programs_reaching_relation_on_all_demos,programs_legal_on_all_demos,identity_mismatch_count,best_legal_mismatch_count,best_legal_improvement_over_identity,quality_parent_count,execution_reason_counts,canvas_relations
9720b24f,parse_failure,True,4,1,10,0,0,0,14,,,0,"{""ambiguous_roles"":30,""no_unique_correspondence"":9,""ok"":1}","[""same_canvas"",""same_canvas"",""same_canvas"",""same_canvas""]"
97c75046,relation_missing,True,3,1,10,10,0,0,6,,,0,"{""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
984d8a3e,relation_missing,True,2,1,10,10,0,0,46,,,0,"{""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas""]"
98c475bf,relation_missing,True,4,1,14,10,0,0,191,,,0,"{""ambiguous_roles"":16,""no_unique_correspondence"":40}","[""same_canvas"",""same_canvas"",""same_canvas"",""same_canvas""]"
9b5080bb,relation_missing,True,3,1,22,10,0,0,34,,,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
9ba4a9aa,canvas_incompatible,False,3,1,10,0,0,0,,,,0,"{""ambiguous_roles"":10,""no_unique_correspondence"":20}","[""output_is_input_crop"",""output_is_input_crop"",""output_is_input_crop""]"
9f669b64,parse_failure,True,3,1,10,0,0,0,48,,,0,"{""ambiguous_roles"":20,""no_unique_correspondence"":10}","[""same_canvas"",""same_canvas"",""same_canvas""]"
a6953f00,canvas_incompatible,False,3,1,10,0,0,0,,,,0,"{""ambiguous_roles"":30}","[""output_is_input_crop"",""output_is_input_crop"",""output_is_input_crop""]"
aaecdb9a,canvas_incompatible,False,3,1,10,10,0,0,,,,0,"{""no_unique_correspondence"":26,""ok"":4}","[""integer_canvas_reduction"",""other_shape_change"",""integer_canvas_reduction""]"
ad3b40cf,relation_missing,True,3,1,22,10,0,0,18,,,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
b71a7747,canvas_incompatible,False,2,1,10,10,0,0,,,,0,"{""no_unique_correspondence"":18,""ok"":2}","[""other_shape_change"",""other_shape_change""]"
bc93ec48,parse_failure,True,3,1,34,0,0,0,34,,,0,"{""ambiguous_roles"":82,""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas"",""same_canvas""]"
c3fa4749,legal_but_inexact,True,3,2,14,10,2,2,39,44,-5,0,"{""ambiguous_roles"":12,""no_unique_correspondence"":24,""ok"":6}","[""same_canvas"",""same_canvas"",""same_canvas""]"
c4d1a9ae,parse_failure,True,2,1,34,0,0,0,61,,,0,"{""ambiguous_roles"":58,""no_unique_correspondence"":10}","[""same_canvas"",""same_canvas""]"
c6141b15,relation_missing,True,3,1,14,10,0,0,93,,,0,"{""ambiguous_roles"":12,""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
c9680e90,parse_failure,True,3,1,10,0,0,0,38,,,0,"{""ambiguous_roles"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
d6542281,relation_missing,True,3,2,22,10,0,0,28,,,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
da6e95e5,canvas_incompatible,False,3,2,10,0,0,0,,,,0,"{""ambiguous_roles"":10,""no_unique_correspondence"":18,""ok"":2}","[""output_is_input_crop"",""output_is_input_crop"",""output_is_input_crop""]"
db615bd4,parse_failure,True,3,1,34,0,0,0,208,,,0,"{""ambiguous_roles"":92,""no_unique_correspondence"":10}","[""same_canvas"",""same_canvas"",""same_canvas""]"
df978a02,relation_missing,True,3,1,22,10,0,0,18,,,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
e4888269,parse_failure,True,3,2,22,0,0,0,9,,,0,"{""ambiguous_roles"":66}","[""same_canvas"",""same_canvas"",""same_canvas""]"
e729b7be,parse_failure,True,3,1,34,0,0,0,133,,,0,"{""ambiguous_roles"":82,""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas"",""same_canvas""]"
e9fc42f2,canvas_incompatible,False,3,2,10,0,0,0,,,,0,"{""ambiguous_roles"":10,""no_unique_correspondence"":14,""ok"":6}","[""other_shape_change"",""other_shape_change"",""other_shape_change""]"
ecb67b6d,parse_failure,True,3,1,10,0,0,0,27,,,0,"{""ambiguous_roles"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
f341894c,parse_failure,True,3,1,10,0,0,0,14,,,0,"{""ambiguous_roles"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
fe45cba4,relation_missing,True,2,1,10,10,0,0,24,,,0,"{""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas""]"
