active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,none,,1.0,1.0,1.0,,,,0.8373702422145328,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.916923076923077,0.0,3502,,moore_r2,,,-1,1.0,,,,,,,,,selected,e734a0e8,,,,,,,d4_sparse,,
,,,d4_bgpad,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.916923076923077,0.0,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,e734a0e8,,,,,,,d4_bgpad_sparse,,
93,0.916923076923077,0.0,none,,,,,cuda,16.686040787026286,480,0.25259515570934254,0.28307692307692306,0.0,0.0,1.0,79e66891cbd1c56c6e1cb296b85babf184dfb98d17335118224615f47cea63e2,6536,340,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,0,0.0,1,same,0.6262975778546713,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,98260,1,[null],3468,dlo,23,23
86,0.916923076923077,0.0,none,,,,,cuda,16.837931128917262,480,0.8269896193771626,0.8723076923076923,0.0,0.0,1.0,ac85d5ab43c551cdfbd0068ec7fd3d3a1bbbb0c54219012184ddf932fabcf0c0,6536,340,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,1,1.0,1,same,0.8269896193771626,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,98260,1,[null],3468,dlo,23,23
101,0.916923076923077,0.0,none,,,,,cuda,17.2383399939863,480,0.48788927335640137,0.46153846153846156,0.0,0.0,1.0,6e81d5cd8853bee559bea11d0737b5258d78cc563e8b498240b36db443c3cad5,6536,340,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,2,0.0,4,same,0.370242214532872,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,393040,4,[4],13872,dlo,23,23
87,0.916923076923077,0.0,none,,,,,cuda,29.131761795957573,480,0.3875432525951557,0.3630769230769231,0.0,0.0,1.0,fe1c0c875b618468e7d6911f8b9d7f440d7734f2f7d003ad48213ccfbaaa51b6,7176,372,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,0,0.0,2,same,0.5051903114186851,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,215016,2,[null],6936,dlf,23,23
87,0.916923076923077,0.0,none,,,,,cuda,29.055663212086074,480,0.6262975778546713,0.6430769230769231,0.0,0.0,1.0,417caf0d0bf140d27d1f536fadd5ac67beef5e8a7be08459013e8adb51e33cda,7176,372,0,289,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,1,1.0,1,same,0.6262975778546713,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,107508,1,[null],3468,dlf,23,23
102,0.916923076923077,0.0,none,,,,,cuda,29.318828301969916,480,0.4844290657439446,0.4723076923076923,0.0,0.0,1.0,38dc1f415e40df4c617b640b1c83960d5119251330f2cf4be96065f692a3c2c9,7176,372,31,289,0.10726643598615918,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,2,0.0,2,same,0.41522491349480967,0.0,0.0,0.0,12,90,trained,e734a0e8,289,,215016,2,[null],6936,dlf,23,23
0,0.916923076923077,0.0,none,57600,,,,cuda,6.393568469095044,480,0.7958477508650519,0.9953846153846154,0.5,0.0,,,,,0,289,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,0,0.0,4,same,0.7889273356401384,0.0,0.0,0.0,12,90,trained,e734a0e8,289,66585600,,4,[null],13872,mlp,23,23
0,0.916923076923077,0.0,none,57600,,,,cuda,6.215086432988755,480,0.7750865051903114,0.9984615384615385,0.5,0.0,,,,,0,289,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,1,1.0,4,same,0.7612456747404844,0.0,0.0,0.0,12,90,trained,e734a0e8,289,66585600,,4,[null],13872,mlp,23,23
0,0.916923076923077,0.0,none,57600,,,,cuda,6.2040217879693955,480,0.7577854671280276,0.9969230769230769,0.5,0.0,,,,,0,289,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,2,0.0,8,same,0.7854671280276817,0.0,0.0,0.0,12,90,trained,e734a0e8,289,133171200,,8,[null],27744,mlp,23,23
,,,,,,,1.0,,,,0.5396825396825397,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,fc754716,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.5396825396825397,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.2857142857142857,0.0,6414,,moore_r2,,,-1,1.0,,,,,,,,,selected,fc754716,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.5396825396825397,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.2857142857142857,0.0,8495,,moore_r2,,,-1,1.0,,,,,,,,,selected,fc754716,,,,,,,d4_bgpad_sparse,,
96,0.2857142857142857,0.0,none,,,,,cuda,17.194030830985866,480,0.3333333333333333,0.36904761904761907,0.0,0.0,1.0,0d2ffa1db6085e05609992cc3b8c150a48c3709eb29b887d5ebccb3de33a5e90,6536,340,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,0,0.0,1,same,0.5555555555555556,0.0,0.0,0.0,12,90,trained,fc754716,63,,21420,1,[null],756,dlo,7,9
77,0.2857142857142857,0.0,none,,,,,cuda,17.09454730094876,480,0.12698412698412698,0.40476190476190477,0.25,0.0,1.0,a71d97baecfcf47c6e637be1b0a4e0ee1b09f9187fc37578995b2fddc95ad5c6,6536,340,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,1,1.0,2,same,0.4603174603174603,0.0,0.0,0.0,12,90,trained,fc754716,63,,42840,2,[null],1512,dlo,7,9
93,0.2857142857142857,0.0,none,,,,,cuda,17.690266398945823,480,0.5555555555555556,0.36904761904761907,0.0,0.0,1.0,7c822c2eba2ae5058b847cd6a3e72a08284877134ee718b6a4461fc72833826b,6536,340,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5440,174080,2,0.0,4,same,0.5555555555555556,0.0,0.0,0.0,12,90,trained,fc754716,63,,85680,4,[null],3024,dlo,7,9
87,0.2857142857142857,0.0,none,,,,,cuda,29.186244397074915,480,0.0,0.42857142857142855,0.0,0.0,1.0,e9361a3a0ecb4ef47887d351d473c34ebd8b4e701482a45c5bf09f6334e2f4d1,7176,372,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,0,1.0,2,same,0.0,0.0,0.0,0.0,12,90,trained,fc754716,63,,46872,2,[2],1512,dlf,7,9
81,0.2857142857142857,0.0,none,,,,,cuda,30.01351232896559,480,0.0,0.14285714285714285,0.0,0.0,1.0,b5f6f85de88644457482d21fdf2d9c98d147b29cd6394a559fd255b285a5d6f5,7176,372,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,1,0.0,1,same,0.015873015873015872,0.0,0.0,0.0,12,90,trained,fc754716,63,,23436,1,[null],756,dlf,7,9
86,0.2857142857142857,0.0,none,,,,,cuda,29.436789101106115,480,0.031746031746031744,0.2857142857142857,0.25,0.0,1.0,a05a74c75ff5596522391e0c0a61249b105f62f43ffb9523b66f71929ae74107,7176,372,0,63,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,5952,190464,2,0.0,1,same,0.031746031746031744,0.0,0.0,0.0,12,90,trained,fc754716,63,,23436,1,[null],756,dlf,7,9
0,0.2857142857142857,0.0,none,57600,,,,cuda,5.150450507062487,361,0.5555555555555556,1.0,1.0,1.0,,,,,0,63,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,0,1.0,4,same,0.5555555555555556,0.0,0.0,0.0,12,90,trained,fc754716,63,14515200,,4,[4],3024,mlp,7,9
0,0.2857142857142857,0.0,none,57600,,,,cuda,5.461659355903976,361,0.5555555555555556,1.0,1.0,1.0,,,,,0,63,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,1,0.0,4,same,0.5555555555555556,0.0,0.0,0.0,12,90,trained,fc754716,63,14515200,,4,[null],3024,mlp,7,9
0,0.2857142857142857,0.0,none,57600,,,,cuda,4.926481214002706,361,0.5555555555555556,1.0,1.0,1.0,,,,,0,63,0.0,0.0,0.0,0.0,0.0,,,,mlp,,57900,1852800,2,0.0,4,same,0.5555555555555556,0.0,0.0,0.0,12,90,trained,fc754716,63,14515200,,4,[4],3024,mlp,7,9
