active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
0,0.0,0.0,none,57600,,,cuda,6.3411289809737355,480,0.4444444444444444,1.0,1.0,1.0,,,,,0,9,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,8,constant:3:3,0.4444444444444444,0.0,0.0,0.0,12,90,trained,ae4f1146,81,37324800,,8,[null],7776,mlp,9,9
0,0.0,0.0,none,57600,,,cuda,5.377781252027489,401,0.4444444444444444,1.0,1.0,1.0,,,,,0,9,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,1,0.0,8,constant:3:3,0.4444444444444444,0.0,0.0,0.0,12,90,trained,ae4f1146,81,37324800,,8,[null],7776,mlp,9,9
0,0.0,0.0,none,57600,,,cuda,6.493631265009753,480,0.4444444444444444,1.0,1.0,1.0,,,,,0,9,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,0.0,8,constant:3:3,0.4444444444444444,0.0,0.0,0.0,12,90,trained,ae4f1146,81,37324800,,8,[null],7776,mlp,9,9
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ce602527,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ce602527,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ce602527,,,,,,,d4_bgpad_sparse,,
,,,,,,,cuda,0.00015319790691137314,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,difflogic,,,0,1.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,dlf,,
,,,,,,,cuda,6.72689639031887e-05,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,difflogic,,,1,0.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,dlf,,
,,,,,,,cuda,6.134307477623224e-05,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,difflogic,,,2,0.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,dlf,,
,,,,,,,cuda,6.0004997067153454e-05,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,mlp,,,0,1.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,mlp,,
,,,,,,,cuda,5.6762946769595146e-05,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,mlp,,,1,0.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,mlp,,
,,,,,,,cuda,5.764199886471033e-05,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,mlp,,,2,0.0,,,0.0,0.0,0.0,0.0,,,unsupported_shape_program,ce602527,,,,,[],,mlp,,
